"modelID","varName","value","temperature","climate","indoorUnittype","info"
"P15-2","EN14825_050","0.98","5","3","0","2"
"P15-2","EN14825_016","14","4","1","0","2"
"P15-2","EN14825_016","14","5","1","0","2"
"P15-2","EN14825_016","12.4","4","3","0","2"
"P15-2","EN14825_016","12.4","5","3","0","2"
"P15-2","EN14825_017","3.15","4","1","0","2"
"P15-2","EN14825_017","1.94","5","1","0","2"
"P15-2","EN14825_017","2.55","4","3","0","2"
"P15-2","EN14825_017","1.98","5","3","0","2"
"P15-2","EN14825_018","14","4","1","0","2"
"P15-2","EN14825_018","14","5","1","0","2"
"P15-2","EN14825_018","13.9","4","3","0","2"
"P15-2","EN14825_018","13.9","5","3","0","2"
"P15-2","EN14825_019","3.15","4","1","0","2"
"P15-2","EN14825_019","1.94","5","1","0","2"
"P15-2","EN14825_019","2.4","4","3","0","2"
"P15-2","EN14825_019","1.75","5","3","0","2"
"P15-2","EN14825_022","60","4","1","0","2"
"P15-2","EN14825_022","60","5","1","0","2"
"P15-2","EN14825_022","60","4","3","0","2"
"P15-2","EN14825_022","60","5","3","0","2"
"P15-2","EN14825_023","15","4","1","0","2"
"P15-2","EN14825_023","15","5","1","0","2"
"P15-2","EN14825_023","15","4","3","0","2"
"P15-2","EN14825_023","15","5","3","0","2"
"P15-2","EN14825_024","15","4","1","0","2"
"P15-2","EN14825_024","15","5","1","0","2"
"P15-2","EN14825_024","15","4","3","0","2"
"P15-2","EN14825_024","15","5","3","0","2"
"P15-2","EN14825_025","15","4","1","0","2"
"P15-2","EN14825_025","15","5","1","0","2"
"P15-2","EN14825_025","15","4","3","0","2"
"P15-2","EN14825_025","15","5","3","0","2"
"P15-2","EN14825_026","0","4","1","0","2"
"P15-2","EN14825_026","0","5","1","0","2"
"P15-2","EN14825_026","0","4","3","0","2"
"P15-2","EN14825_026","0","5","3","0","2"
"P15-2","EN14825_027","1","4","1","0","2"
"P15-2","EN14825_027","1","5","1","0","2"
"P15-2","EN14825_027","1","4","3","0","2"
"P15-2","EN14825_027","1","5","3","0","2"
"P15-2","EN14825_028","0","4","1","0","2"
"P15-2","EN14825_028","0","5","1","0","2"
"P15-2","EN14825_028","0.1","4","3","0","2"
"P15-2","EN14825_028","0.1","5","3","0","2"
"P15-2","EN14825_029","3252","4","1","0","2"
"P15-2","EN14825_029","4593","5","1","0","2"
"P15-2","EN14825_029","6470","4","3","0","2"
"P15-2","EN14825_029","8589","5","3","0","2"
"P15-2","EN16147_001","XL","0","1","0","2"
"P15-2","EN16147_001","XL","0","3","0","2"
"P15-2","EN16147_002","125","0","1","0","2"
"P15-2","EN16147_002","118","0","3","0","2"
"P15-2","EN16147_003","3.02","0","1","0","2"
"P15-2","EN16147_003","2.83","0","3","0","2"
"P15-2","EN16147_004","02:21","0","1","0","2"
"P15-2","EN16147_004","02:26","0","3","0","2"
"P15-2","EN16147_005","41","0","1","0","2"
"P15-2","EN16147_005","51","0","3","0","2"
"P15-2","EN16147_006","52.5","0","1","0","2"
"P15-2","EN16147_006","52.5","0","3","0","2"
"P15-2","EN16147_007","417","0","1","0","2"
"P15-2","EN16147_007","417","0","3","0","2"
"P15-1","title","PUZ-HWM140VHA(-BS) + EHPT30X-M*D","0","0","0","1"
"P15-1","application","4","0","0","0","1"
"P15-1","indoor","1","0","0","0","1"
"P15-1","outdoor","1","0","0","0","1"
"P15-1","coolingMode7c12c","0","0","0","0","1"
"P15-1","coolingMode18c23c","0","0","0","0","1"
"P15-1","colderClimate","0","0","0","0","1"
"P15-1","warmerClimate","1","0","0","0","1"
"P15-1","reversibility","0","0","0","0","1"
"P15-1","colderForHeating","0","0","0","0","1"
"P15-1","warmerForHeating","0","0","0","0","1"
"P15-1","en145112Certification","0","0","0","0","1"
"P15-1","heatSource","0","0","0","0","1"
"P15-1","additionalOutdoorAir","0","0","0","0","1"
"P15-1","additionalExhaustAir","0","0","0","0","1"
"P15-1","additionalIndoorAir","0","0","0","0","1"
"P15-1","additionalNonheatedSpaceAir","0","0","0","0","1"
"P15-1","powerSupply","1","0","0","0","1"
"P15-1","offPeakProduct","0","0","0","0","1"
"P15-1","EN14511_2_001","14","4","10","0","2"
"P15-1","EN14511_2_001","14","5","10","0","2"
"P15-1","EN14511_2_002","3.14","4","10","0","2"
"P15-1","EN14511_2_002","5.24","5","10","0","2"
"P15-1","EN14511_2_003","4.46","4","10","0","2"
"P15-1","EN14511_2_003","2.67","5","10","0","2"
"P15-1","EN14511_4_003","2","0","10","0","2"
"P15-1","EN14511_4_004","2","0","10","0","2"
"P15-1","EN14511_4_005","2","0","10","0","2"
"P15-1","EN14511_4_006","2","0","10","0","2"
"P15-1","EN12102_1_001","40","4","1","0","2"
"P15-1","EN12102_1_001","40","5","1","0","2"
"P15-1","EN12102_1_001","40","4","3","0","2"
"P15-1","EN12102_1_001","40","5","3","0","2"
"P15-1","EN12102_1_002","67","4","1","0","2"
"P15-1","EN12102_1_002","67","5","1","0","2"
"P15-1","EN12102_1_002","67","4","3","0","2"
"P15-1","EN12102_1_002","67","5","3","0","2"
"P15-1","EN14825_001","227","4","1","0","2"
"P15-1","EN14825_001","160","5","1","0","2"
"P15-1","EN14825_001","176","4","3","0","2"
"P15-1","EN14825_001","132","5","3","0","2"
"P15-1","EN14825_002","14","4","1","0","2"
"P15-1","EN14825_002","14","5","1","0","2"
"P15-1","EN14825_002","14","4","3","0","2"
"P15-1","EN14825_002","14","5","3","0","2"
"P15-1","EN14825_003","5.75","4","1","0","2"
"P15-1","EN14825_003","4.07","5","1","0","2"
"P15-1","EN14825_003","4.47","4","3","0","2"
"P15-1","EN14825_003","3.37","5","3","0","2"
"P15-1","EN14825_004","2","4","1","0","2"
"P15-1","EN14825_004","2","5","1","0","2"
"P15-1","EN14825_004","-7","4","3","0","2"
"P15-1","EN14825_004","-7","5","3","0","2"
"P15-1","EN14825_005","-28","4","1","0","2"
"P15-1","EN14825_005","-28","5","1","0","2"
"P15-1","EN14825_005","-28","4","3","0","2"
"P15-1","EN14825_005","-28","5","3","0","2"
"P15-1","EN14825_008","12.4","4","3","0","2"
"P15-1","EN14825_008","12.4","5","3","0","2"
"P15-1","EN14825_009","2.55","4","3","0","2"
"P15-1","EN14825_009","1.98","5","3","0","2"
"P15-1","EN14825_047","1","4","3","0","2"
"P15-1","EN14825_047","1","5","3","0","2"
"P15-1","EN14825_010","14","4","1","0","2"
"P15-1","EN14825_010","14","5","1","0","2"
"P15-1","EN14825_010","7.5","4","3","0","2"
"P15-1","EN14825_010","7.5","5","3","0","2"
"P15-1","EN14825_011","3.15","4","1","0","2"
"P15-1","EN14825_011","1.94","5","1","0","2"
"P15-1","EN14825_011","4.4","4","3","0","2"
"P15-1","EN14825_011","3.25","5","3","0","2"
"P15-1","EN14825_048","1","4","1","0","2"
"P15-1","EN14825_048","1","5","1","0","2"
"P15-1","EN14825_048","0.99","4","3","0","2"
"P15-1","EN14825_048","0.99","5","3","0","2"
"P15-1","EN14825_012","9","4","1","0","2"
"P15-1","EN14825_012","9","5","1","0","2"
"P15-1","EN14825_012","4.9","4","3","0","2"
"P15-1","EN14825_012","5.1","5","3","0","2"
"P15-1","EN14825_013","5.1","4","1","0","2"
"P15-1","EN14825_013","3.25","5","1","0","2"
"P15-1","EN14825_013","6.28","4","3","0","2"
"P15-1","EN14825_013","4.64","5","3","0","2"
"P15-1","EN14825_049","0.99","4","1","0","2"
"P15-1","EN14825_049","1","5","1","0","2"
"P15-1","EN14825_049","0.98","4","3","0","2"
"P15-1","EN14825_049","0.99","5","3","0","2"
"P15-1","EN14825_014","5.5","4","1","0","2"
"P15-1","EN14825_014","5.2","5","1","0","2"
"P15-1","EN14825_014","5.7","4","3","0","2"
"P15-1","EN14825_014","5.2","5","3","0","2"
"P15-1","EN14825_015","7.43","4","1","0","2"
"P15-1","EN14825_015","5.91","5","1","0","2"
"P15-1","EN14825_015","7.43","4","3","0","2"
"P15-1","EN14825_015","6.24","5","3","0","2"
"P15-1","EN14825_050","0.98","4","1","0","2"
"P15-1","EN14825_050","0.98","5","1","0","2"
"P15-1","EN14825_050","0.98","4","3","0","2"
"P15-1","EN14825_050","0.98","5","3","0","2"
"P15-1","EN14825_016","14","4","1","0","2"
"P15-1","EN14825_016","14","5","1","0","2"
"P15-1","EN14825_016","12.4","4","3","0","2"
"P15-1","EN14825_016","12.4","5","3","0","2"
"P15-1","EN14825_017","3.15","4","1","0","2"
"P15-1","EN14825_017","1.94","5","1","0","2"
"P15-1","EN14825_017","2.55","4","3","0","2"
"P15-1","EN14825_017","1.98","5","3","0","2"
"P15-1","EN14825_018","14","4","1","0","2"
"P15-1","EN14825_018","14","5","1","0","2"
"P15-1","EN14825_018","13.9","4","3","0","2"
"P15-1","EN14825_018","13.9","5","3","0","2"
"P15-1","EN14825_019","3.15","4","1","0","2"
"P15-1","EN14825_019","1.94","5","1","0","2"
"P15-1","EN14825_019","2.4","4","3","0","2"
"P15-1","EN14825_019","1.75","5","3","0","2"
"P15-1","EN14825_022","60","4","1","0","2"
"P15-1","EN14825_022","60","5","1","0","2"
"P15-1","EN14825_022","60","4","3","0","2"
"P15-1","EN14825_022","60","5","3","0","2"
"P15-1","EN14825_023","15","4","1","0","2"
"P15-1","EN14825_023","15","5","1","0","2"
"P15-1","EN14825_023","15","4","3","0","2"
"P15-1","EN14825_023","15","5","3","0","2"
"P15-1","EN14825_024","15","4","1","0","2"
"P15-1","EN14825_024","15","5","1","0","2"
"P15-1","EN14825_024","15","4","3","0","2"
"P15-1","EN14825_024","15","5","3","0","2"
"P15-1","EN14825_025","15","4","1","0","2"
"P15-1","EN14825_025","15","5","1","0","2"
"P15-1","EN14825_025","15","4","3","0","2"
"P15-1","EN14825_025","15","5","3","0","2"
"P15-1","EN14825_026","0","4","1","0","2"
"P15-1","EN14825_026","0","5","1","0","2"
"P15-1","EN14825_026","0","4","3","0","2"
"P15-1","EN14825_026","0","5","3","0","2"
"P15-1","EN14825_027","1","4","1","0","2"
"P15-1","EN14825_027","1","5","1","0","2"
"P15-1","EN14825_027","1","4","3","0","2"
"P15-1","EN14825_027","1","5","3","0","2"
"P15-1","EN14825_028","0","4","1","0","2"
"P15-1","EN14825_028","0","5","1","0","2"
"P15-1","EN14825_028","0.1","4","3","0","2"
"P15-1","EN14825_028","0.1","5","3","0","2"
"P15-1","EN14825_029","3252","4","1","0","2"
"P15-1","EN14825_029","4593","5","1","0","2"
"P15-1","EN14825_029","6470","4","3","0","2"
"P15-1","EN14825_029","8589","5","3","0","2"
"P15-1","EN16147_001","XL","0","1","0","2"
"P15-1","EN16147_001","XL","0","3","0","2"
"P15-1","EN16147_002","125","0","1","0","2"
"P15-1","EN16147_002","118","0","3","0","2"
"P15-1","EN16147_003","3.02","0","1","0","2"
"P15-1","EN16147_003","2.83","0","3","0","2"
"P15-1","EN16147_004","02:21","0","1","0","2"
"P15-1","EN16147_004","02:26","0","3","0","2"
"P15-1","EN16147_005","41","0","1","0","2"
"P15-1","EN16147_005","51","0","3","0","2"
"P15-1","EN16147_006","52.5","0","1","0","2"
"P15-1","EN16147_006","52.5","0","3","0","2"
"P15-1","EN16147_007","417","0","1","0","2"
"P15-1","EN16147_007","417","0","3","0","2"
"P15-3","title","PUZ-HWM140VHA(-BS) + ERPT30X-*M*D","0","0","0","1"
"P15-3","application","4","0","0","0","1"
"P15-3","indoor","1","0","0","0","1"
"P15-3","outdoor","1","0","0","0","1"
"P15-3","coolingMode7c12c","0","0","0","0","1"
"P15-3","coolingMode18c23c","0","0","0","0","1"
"P15-3","colderClimate","0","0","0","0","1"
"P15-3","warmerClimate","1","0","0","0","1"
"P15-3","reversibility","1","0","0","0","1"
"P15-3","colderForHeating","0","0","0","0","1"
"P15-3","warmerForHeating","0","0","0","0","1"
"P15-3","en145112Certification","0","0","0","0","1"
"P15-3","heatSource","0","0","0","0","1"
"P15-3","additionalOutdoorAir","0","0","0","0","1"
"P15-3","additionalExhaustAir","0","0","0","0","1"
"P15-3","additionalIndoorAir","0","0","0","0","1"
"P15-3","additionalNonheatedSpaceAir","0","0","0","0","1"
"P15-3","powerSupply","1","0","0","0","1"
"P15-3","offPeakProduct","0","0","0","0","1"
"P15-3","EN14511_2_001","14","4","10","0","2"
"P15-3","EN14511_2_001","14","5","10","0","2"
"P15-3","EN14511_2_002","3.14","4","10","0","2"
"P15-3","EN14511_2_002","5.24","5","10","0","2"
"P15-3","EN14511_2_003","4.46","4","10","0","2"
"P15-3","EN14511_2_003","2.67","5","10","0","2"
"P15-3","EN14511_4_003","2","0","10","0","2"
"P15-3","EN14511_4_004","2","0","10","0","2"
"P15-3","EN14511_4_005","2","0","10","0","2"
"P15-3","EN14511_4_006","2","0","10","0","2"
"P15-3","EN12102_1_001","40","4","1","0","2"
"P15-3","EN12102_1_001","40","5","1","0","2"
"P15-3","EN12102_1_001","40","4","3","0","2"
"P15-3","EN12102_1_001","40","5","3","0","2"
"P15-3","EN12102_1_002","67","4","1","0","2"
"P15-3","EN12102_1_002","67","5","1","0","2"
"P15-3","EN12102_1_002","67","4","3","0","2"
"P15-3","EN12102_1_002","67","5","3","0","2"
"P15-3","EN14825_001","232","4","1","0","2"
"P15-3","EN14825_001","162","5","1","0","2"
"P15-3","EN14825_001","178","4","3","0","2"
"P15-3","EN14825_001","133","5","3","0","2"
"P15-3","EN14825_002","14","4","1","0","2"
"P15-3","EN14825_002","14","5","1","0","2"
"P15-3","EN14825_002","14","4","3","0","2"
"P15-3","EN14825_002","14","5","3","0","2"
"P15-3","EN14825_003","5.87","4","1","0","2"
"P15-3","EN14825_003","4.13","5","1","0","2"
"P15-3","EN14825_003","4.51","4","3","0","2"
"P15-3","EN14825_003","3.39","5","3","0","2"
"P15-3","EN14825_004","2","4","1","0","2"
"P15-3","EN14825_004","2","5","1","0","2"
"P15-3","EN14825_004","-7","4","3","0","2"
"P15-3","EN14825_004","-7","5","3","0","2"
"P15-3","EN14825_005","-28","4","1","0","2"
"P15-3","EN14825_005","-28","5","1","0","2"
"P15-3","EN14825_005","-28","4","3","0","2"
"P15-3","EN14825_005","-28","5","3","0","2"
"P15-3","EN14825_008","12.4","4","3","0","2"
"P15-3","EN14825_008","12.4","5","3","0","2"
"P15-3","EN14825_009","2.55","4","3","0","2"
"P15-3","EN14825_009","1.98","5","3","0","2"
"P15-3","EN14825_047","1","4","3","0","2"
"P15-3","EN14825_047","1","5","3","0","2"
"P15-3","EN14825_010","14","4","1","0","2"
"P15-3","EN14825_010","14","5","1","0","2"
"P15-3","EN14825_010","7.5","4","3","0","2"
"P15-3","EN14825_010","7.5","5","3","0","2"
"P15-3","EN14825_011","3.15","4","1","0","2"
"P15-3","EN14825_011","1.94","5","1","0","2"
"P15-3","EN14825_011","4.4","4","3","0","2"
"P15-3","EN14825_011","3.25","5","3","0","2"
"P15-3","EN14825_048","1","4","1","0","2"
"P15-3","EN14825_048","1","5","1","0","2"
"P15-3","EN14825_048","0.99","4","3","0","2"
"P15-3","EN14825_048","0.99","5","3","0","2"
"P15-3","EN14825_012","9","4","1","0","2"
"P15-3","EN14825_012","9","5","1","0","2"
"P15-3","EN14825_012","4.9","4","3","0","2"
"P15-3","EN14825_012","5.1","5","3","0","2"
"P15-3","EN14825_013","5.1","4","1","0","2"
"P15-3","EN14825_013","3.25","5","1","0","2"
"P15-3","EN14825_013","6.28","4","3","0","2"
"P15-3","EN14825_013","4.64","5","3","0","2"
"P15-3","EN14825_049","0.99","4","1","0","2"
"P15-3","EN14825_049","1","5","1","0","2"
"P15-3","EN14825_049","0.98","4","3","0","2"
"P15-3","EN14825_049","0.99","5","3","0","2"
"P15-3","EN14825_014","5.5","4","1","0","2"
"P15-3","EN14825_014","5.2","5","1","0","2"
"P15-3","EN14825_014","5.7","4","3","0","2"
"P15-3","EN14825_014","5.2","5","3","0","2"
"P15-3","EN14825_015","7.43","4","1","0","2"
"P15-3","EN14825_015","5.91","5","1","0","2"
"P15-3","EN14825_015","7.43","4","3","0","2"
"P15-3","EN14825_015","6.24","5","3","0","2"
"P15-3","EN14825_050","0.98","4","1","0","2"
"P15-3","EN14825_050","0.98","5","1","0","2"
"P15-3","EN14825_050","0.98","4","3","0","2"
"P15-3","EN14825_050","0.98","5","3","0","2"
"P15-3","EN14825_016","14","4","1","0","2"
"P15-3","EN14825_016","14","5","1","0","2"
"P15-3","EN14825_016","12.4","4","3","0","2"
"P15-3","EN14825_016","12.4","5","3","0","2"
"P15-3","EN14825_017","3.15","4","1","0","2"
"P15-3","EN14825_017","1.94","5","1","0","2"
"P15-3","EN14825_017","2.55","4","3","0","2"
"P15-3","EN14825_017","1.98","5","3","0","2"
"P15-3","EN14825_018","14","4","1","0","2"
"P15-3","EN14825_018","14","5","1","0","2"
"P15-3","EN14825_018","13.9","4","3","0","2"
"P15-3","EN14825_018","13.9","5","3","0","2"
"P15-3","EN14825_019","3.15","4","1","0","2"
"P15-3","EN14825_019","1.94","5","1","0","2"
"P15-3","EN14825_019","2.4","4","3","0","2"
"P15-3","EN14825_019","1.75","5","3","0","2"
"P15-3","EN14825_022","60","4","1","0","2"
"P15-3","EN14825_022","60","5","1","0","2"
"P15-3","EN14825_022","60","4","3","0","2"
"P15-3","EN14825_022","60","5","3","0","2"
"P15-3","EN14825_023","15","4","1","0","2"
"P15-3","EN14825_023","15","5","1","0","2"
"P15-3","EN14825_023","15","4","3","0","2"
"P15-3","EN14825_023","15","5","3","0","2"
"P15-3","EN14825_024","15","4","1","0","2"
"P15-3","EN14825_024","15","5","1","0","2"
"P15-3","EN14825_024","15","4","3","0","2"
"P15-3","EN14825_024","15","5","3","0","2"
"P15-3","EN14825_025","15","4","1","0","2"
"P15-3","EN14825_025","15","5","1","0","2"
"P15-3","EN14825_025","15","4","3","0","2"
"P15-3","EN14825_025","15","5","3","0","2"
"P15-3","EN14825_026","0","4","1","0","2"
"P15-3","EN14825_026","0","5","1","0","2"
"P15-3","EN14825_026","0","4","3","0","2"
"P15-3","EN14825_026","0","5","3","0","2"
"P15-3","EN14825_027","1","4","1","0","2"
"P15-3","EN14825_027","1","5","1","0","2"
"P15-3","EN14825_027","1","4","3","0","2"
"P15-3","EN14825_027","1","5","3","0","2"
"P15-3","EN14825_028","0","4","1","0","2"
"P15-3","EN14825_028","0","5","1","0","2"
"P15-3","EN14825_028","0.1","4","3","0","2"
"P15-3","EN14825_028","0.1","5","3","0","2"
"P15-3","EN14825_029","3186","4","1","0","2"
"P15-3","EN14825_029","4527","5","1","0","2"
"P15-3","EN14825_029","6407","4","3","0","2"
"P15-3","EN14825_029","8534","5","3","0","2"
"P15-3","EN16147_001","XL","0","1","0","2"
"P15-3","EN16147_001","XL","0","3","0","2"
"P15-3","EN16147_002","125","0","1","0","2"
"P15-3","EN16147_002","118","0","3","0","2"
"P15-3","EN16147_003","3.02","0","1","0","2"
"P15-3","EN16147_003","2.83","0","3","0","2"
"P15-3","EN16147_004","02:21","0","1","0","2"
"P15-3","EN16147_004","02:26","0","3","0","2"
"P15-3","EN16147_005","41","0","1","0","2"
"P15-3","EN16147_005","51","0","3","0","2"
"P15-3","EN16147_006","52.5","0","1","0","2"
"P15-3","EN16147_006","52.5","0","3","0","2"
"P15-3","EN16147_007","417","0","1","0","2"
"P15-3","EN16147_007","417","0","3","0","2"
"P15-5","title","PUZ-HWM140YHA(-BS) + EHPT30X-*M*D","0","0","0","1"
"P15-5","application","4","0","0","0","1"
"P15-5","indoor","1","0","0","0","1"
"P15-5","outdoor","1","0","0","0","1"
"P15-5","coolingMode7c12c","0","0","0","0","1"
"P15-5","coolingMode18c23c","0","0","0","0","1"
"P15-5","colderClimate","0","0","0","0","1"
"P15-5","warmerClimate","1","0","0","0","1"
"P15-5","reversibility","0","0","0","0","1"
"P15-5","colderForHeating","0","0","0","0","1"
"P15-5","warmerForHeating","0","0","0","0","1"
"P15-5","en145112Certification","0","0","0","0","1"
"P15-5","heatSource","0","0","0","0","1"
"P15-5","additionalOutdoorAir","0","0","0","0","1"
"P15-5","additionalExhaustAir","0","0","0","0","1"
"P15-5","additionalIndoorAir","0","0","0","0","1"
"P15-5","additionalNonheatedSpaceAir","0","0","0","0","1"
"P15-5","powerSupply","3","0","0","0","1"
"P15-5","offPeakProduct","0","0","0","0","1"
"P15-5","EN14511_2_001","14","4","10","0","2"
"P15-5","EN14511_2_001","14","5","10","0","2"
"P15-5","EN14511_2_002","3.14","4","10","0","2"
"P15-5","EN14511_2_002","5.24","5","10","0","2"
"P15-5","EN14511_2_003","4.46","4","10","0","2"
"P15-5","EN14511_2_003","2.67","5","10","0","2"
"P15-5","EN14511_4_003","2","0","10","0","2"
"P15-5","EN14511_4_004","2","0","10","0","2"
"P15-5","EN14511_4_005","2","0","10","0","2"
"P15-5","EN14511_4_006","2","0","10","0","2"
"P15-5","EN12102_1_001","40","4","1","0","2"
"P15-5","EN12102_1_001","40","5","1","0","2"
"P15-5","EN12102_1_001","40","4","3","0","2"
"P15-5","EN12102_1_001","40","5","3","0","2"
"P15-5","EN12102_1_002","67","4","1","0","2"
"P15-5","EN12102_1_002","67","5","1","0","2"
"P15-5","EN12102_1_002","67","4","3","0","2"
"P15-5","EN12102_1_002","67","5","3","0","2"
"P15-5","EN14825_001","225","4","1","0","2"
"P15-5","EN14825_001","159","5","1","0","2"
"P15-5","EN14825_001","175","4","3","0","2"
"P15-5","EN14825_001","131","5","3","0","2"
"P15-5","EN14825_002","14","4","1","0","2"
"P15-5","EN14825_002","14","5","1","0","2"
"P15-5","EN14825_002","14","4","3","0","2"
"P15-5","EN14825_002","14","5","3","0","2"
"P15-5","EN14825_003","5.69","4","1","0","2"
"P15-5","EN14825_003","4.04","5","1","0","2"
"P15-5","EN14825_003","4.46","4","3","0","2"
"P15-5","EN14825_003","3.36","5","3","0","2"
"P15-5","EN14825_004","2","4","1","0","2"
"P15-5","EN14825_004","2","5","1","0","2"
"P15-5","EN14825_004","-7","4","3","0","2"
"P15-5","EN14825_004","-7","5","3","0","2"
"P15-5","EN14825_005","-28","4","1","0","2"
"P15-5","EN14825_005","-28","5","1","0","2"
"P15-5","EN14825_005","-28","4","3","0","2"
"P15-5","EN14825_005","-28","5","3","0","2"
"P15-5","EN14825_008","12.4","4","3","0","2"
"P15-5","EN14825_008","12.4","5","3","0","2"
"P15-5","EN14825_009","2.55","4","3","0","2"
"P15-5","EN14825_009","1.98","5","3","0","2"
"P15-5","EN14825_047","1","4","3","0","2"
"P15-5","EN14825_047","1","5","3","0","2"
"P15-5","EN14825_010","14","4","1","0","2"
"P15-5","EN14825_010","14","5","1","0","2"
"P15-5","EN14825_010","7.5","4","3","0","2"
"P15-5","EN14825_010","7.5","5","3","0","2"
"P15-5","EN14825_011","3.15","4","1","0","2"
