"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","AEG WPT 300 EL","0","0","0","1"
"1","application","3","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","1","0","0","0","1"
"1","warmerClimate","1","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN12102_1_001","60","0","10","0","2"
"1","EN12102_2_001","60","0","3","0","2"
"1","EN16147_001","XL","0","3","0","2"
"1","EN16147_002","144","0","3","0","2"
"1","EN16147_003","3.51","0","3","0","2"
"1","EN16147_004","9:03","0","3","0","2"
"1","EN16147_005","60.0","0","3","0","2"
"1","EN16147_006","54.4","0","3","0","2"
"1","EN16147_007","395","0","3","0","2"
"2","title","AEG WPT 300 EL plus","0","0","0","1"
"2","application","3","0","0","0","1"
"2","indoor","1","0","0","0","1"
"2","outdoor","0","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","1","0","0","0","1"
"2","warmerClimate","1","0","0","0","1"
"2","reversibility","0","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","1","0","0","0","1"
"2","offPeakProduct","2","0","0","0","1"
"2","EN12102_1_001","60","0","10","0","2"
"2","EN12102_2_001","60","0","3","0","2"
"2","EN16147_001","XL","0","3","0","2"
"2","EN16147_002","144","0","3","0","2"
"2","EN16147_003","3.51","0","3","0","2"
"2","EN16147_004","9:03","0","3","0","2"
"2","EN16147_005","60.0","0","3","0","2"
"2","EN16147_006","54.4","0","3","0","2"
"2","EN16147_007","371","0","3","0","2"
"","Refrigerant","R134a","0","0","0","0"
"","Mass of Refrigerant","0,850 kg","0","0","0","0"
"","Date","23.09.2020","0","0","0","0"
"","Manufacturer"," STIEBEL ELTRON GmbH & Co KG","0","0","0","0"
"","Modelname","AEG WPT 300 EL, AEG WPT 300 EL plus","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
