"modelID","varName","value","temperature","climate","indoorUnittype","info"
"100","title","ERGA08EV / EHSH(B)08P50D3","0","0","0","1"
"100","application","4","0","0","0","1"
"100","indoor","1","0","0","0","1"
"100","outdoor","1","0","0","0","1"
"100","coolingMode7c12c","0","0","0","0","1"
"100","coolingMode18c23c","0","0","0","0","1"
"100","colderClimate","0","0","0","0","1"
"100","warmerClimate","0","0","0","0","1"
"100","reversibility","0","0","0","0","1"
"100","colderForHeating","0","0","0","0","1"
"100","warmerForHeating","0","0","0","0","1"
"100","en145112Certification","0","0","0","0","1"
"100","heatSource","0","0","0","0","1"
"100","additionalOutdoorAir","0","0","0","0","1"
"100","additionalExhaustAir","0","0","0","0","1"
"100","additionalIndoorAir","0","0","0","0","1"
"100","additionalNonheatedSpaceAir","0","0","0","0","1"
"100","powerSupply","1","0","0","0","1"
"100","offPeakProduct","0","0","0","0","1"
"100","EN14511_4_001","2","0","10","0","2"
"100","EN14511_4_002","2","0","10","0","2"
"100","EN14511_2_001","7.5","4","10","0","2"
"100","EN14511_2_001","7.5","5","10","0","2"
"100","EN14511_2_002","1.73","6","4","0","2"
"100","EN14511_2_002","1.63","4","10","0","2"
"100","EN14511_2_002","2.78","5","10","0","2"
"100","EN14511_2_003","4.6","4","10","0","2"
"100","EN14511_2_003","2.7","5","10","0","2"
"100","EN14511_2_005","5.44","6","4","0","2"
"100","EN14511_2_007","3.14","6","4","0","2"
"100","EN14511_4_003","2","0","10","0","2"
"100","EN14511_4_004","2","0","10","0","2"
"100","EN14511_4_005","2","0","10","0","2"
"100","EN14511_4_006","2","0","10","0","2"
"100","EN12102_1_001","39","4","3","0","2"
"100","EN12102_1_001","39","5","3","0","2"
"100","EN12102_1_002","62","4","3","0","2"
"100","EN12102_1_002","62","5","3","0","2"
"100","EN14825_001","179","4","3","0","2"
"100","EN14825_001","130","5","3","0","2"
"100","EN14825_002","8","4","3","0","2"
"100","EN14825_002","8","5","3","0","2"
"100","EN14825_003","4.56","4","3","0","2"
"100","EN14825_003","3.32","5","3","0","2"
"100","EN14825_004","-8","4","3","0","2"
"100","EN14825_004","-8","5","3","0","2"
"100","EN14825_005","-10","4","3","0","2"
"100","EN14825_005","-10","5","3","0","2"
"100","EN14825_008","7","4","3","0","2"
"100","EN14825_008","6.9","5","3","0","2"
"100","EN14825_009","2.77","4","3","0","2"
"100","EN14825_009","1.96","5","3","0","2"
"100","EN14825_047","1","5","3","0","2"
"100","EN14825_010","4.2","4","3","0","2"
"100","EN14825_010","4.4","5","3","0","2"
"100","EN14825_011","4.35","4","3","0","2"
"100","EN14825_011","3.2","5","3","0","2"
"100","EN14825_048","1","4","3","0","2"
"100","EN14825_048","1","5","3","0","2"
"100","EN14825_012","3.3","4","3","0","2"
"100","EN14825_012","3.3","5","3","0","2"
"100","EN14825_013","6.49","4","3","0","2"
"100","EN14825_013","4.64","5","3","0","2"
"100","EN14825_049","1","4","3","0","2"
"100","EN14825_049","1","5","3","0","2"
"100","EN14825_014","3.9","4","3","0","2"
"100","EN14825_014","4.1","5","3","0","2"
"100","EN14825_015","8.52","4","3","0","2"
"100","EN14825_015","6.22","5","3","0","2"
"100","EN14825_050","1","4","3","0","2"
"100","EN14825_050","1","5","3","0","2"
"100","EN14825_016","7.5","4","3","0","2"
"100","EN14825_016","7.5","5","3","0","2"
"100","EN14825_017","2.66","4","3","0","2"
"100","EN14825_017","1.9","5","3","0","2"
"100","EN14825_018","6.9","4","3","0","2"
"100","EN14825_018","7.1","5","3","0","2"
"100","EN14825_019","2.41","4","3","0","2"
"100","EN14825_019","1.64","5","3","0","2"
"100","EN14825_021","1","4","3","0","2"
"100","EN14825_021","1","5","3","0","2"
"100","EN14825_030","5.4","6","4","0","2"
"100","EN14825_031","5.71","6","4","0","2"
"100","EN14825_032","5.44","6","4","0","2"
"100","EN14825_033","3.14","6","4","0","2"
"100","EN14825_034","4.02","6","4","0","2"
"100","EN14825_035","4.84","6","4","0","2"
"100","EN14825_053","1","6","4","0","2"
"100","EN14825_036","2.47","6","4","0","2"
"100","EN14825_037","6.86","6","4","0","2"
"100","EN14825_054","1","6","4","0","2"
"100","EN14825_038","2.54","6","4","0","2"
"100","EN14825_039","8.47","6","4","0","2"
"100","EN14825_055","1","6","4","0","2"
"100","EN14825_022","35","4","3","0","2"
"100","EN14825_022","55","5","3","0","2"
"100","EN14825_023","10","4","3","0","2"
"100","EN14825_023","10","5","3","0","2"
"100","EN14825_023","10","6","4","0","2"
"100","EN14825_024","10","4","3","0","2"
"100","EN14825_024","10","5","3","0","2"
"100","EN14825_024","10","6","4","0","2"
"100","EN14825_025","10","4","3","0","2"
"100","EN14825_025","10","5","3","0","2"
"100","EN14825_025","10","6","4","0","2"
"100","EN14825_026","0","4","3","0","2"
