"modelID","varName","value","temperature","climate","indoorUnittype","info"
"model-3434","EN14825_003","4.15","4","3","0","2"
"model-3434","EN14825_003","3.21","5","3","0","2"
"model-3434","EN14825_004","-7","4","3","0","2"
"model-3434","EN14825_004","-7","5","3","0","2"
"model-3434","EN14825_005","-10","4","3","0","2"
"model-3434","EN14825_005","-10","5","3","0","2"
"model-3434","EN14825_008","14.20","4","3","0","2"
"model-3434","EN14825_008","12.00","5","3","0","2"
"model-3434","EN14825_009","2.79","4","3","0","2"
"model-3434","EN14825_009","1.98","5","3","0","2"
"model-3434","EN14825_010","8.70","4","3","0","2"
"model-3434","EN14825_010","7.30","5","3","0","2"
"model-3434","EN14825_011","4.17","4","3","0","2"
"model-3434","EN14825_011","3.15","5","3","0","2"
"model-3434","EN14825_012","7.00","4","3","0","2"
"model-3434","EN14825_012","6.30","5","3","0","2"
"model-3434","EN14825_013","5.34","4","3","0","2"
"model-3434","EN14825_013","4.30","5","3","0","2"
"model-3434","EN14825_014","8.10","4","3","0","2"
"model-3434","EN14825_014","7.60","5","3","0","2"
"model-3434","EN14825_015","6.76","4","3","0","2"
"model-3434","EN14825_015","5.99","5","3","0","2"
"model-3434","EN14825_016","14.20","4","3","0","2"
"model-3434","EN14825_016","12.00","5","3","0","2"
"model-3434","EN14825_017","2.79","4","3","0","2"
"model-3434","EN14825_017","1.98","5","3","0","2"
"model-3434","EN14825_018","14.10","4","3","0","2"
"model-3434","EN14825_018","10.60","5","3","0","2"
"model-3434","EN14825_019","2.54","4","3","0","2"
"model-3434","EN14825_019","1.75","5","3","0","2"
"model-3434","EN14825_021","0.92","4","3","0","2"
"model-3434","EN14825_021","0.96","5","3","0","2"
"model-3434","EN14825_022","65","4","3","0","2"
"model-3434","EN14825_022","65","5","3","0","2"
"model-3434","EN14825_023","19","4","3","0","2"
"model-3434","EN14825_023","19","5","3","0","2"
"model-3434","EN14825_024","100","4","3","0","2"
"model-3434","EN14825_024","46","5","3","0","2"
"model-3434","EN14825_025","23","4","3","0","2"
"model-3434","EN14825_025","23","5","3","0","2"
"model-3434","EN14825_026","0","4","3","0","2"
"model-3434","EN14825_026","0","5","3","0","2"
"model-3434","EN14825_027","1","4","3","0","2"
"model-3434","EN14825_027","1","5","3","0","2"
"model-3434","EN14825_028","2.00","4","3","0","2"
"model-3434","EN14825_028","3.00","5","3","0","2"
"model-3434","EN14825_029","8014","4","3","0","2"
"model-3434","EN14825_029","8757","5","3","0","2"
"model-3435","title","Alféa Excellia HP Duo A.I. 16","0","0","0","1"
"model-3435","application","4","0","0","0","1"
"model-3435","indoor","1","0","0","0","1"
"model-3435","outdoor","1","0","0","0","1"
"model-3435","coolingMode7c12c","0","0","0","0","1"
"model-3435","coolingMode18c23c","0","0","0","0","1"
"model-3435","colderClimate","0","0","0","0","1"
"model-3435","warmerClimate","0","0","0","0","1"
"model-3435","reversibility","0","0","0","0","1"
"model-3435","colderForHeating","0","0","0","0","1"
"model-3435","warmerForHeating","0","0","0","0","1"
"model-3435","en145112Certification","0","0","0","0","1"
"model-3435","heatSource","0","0","0","0","1"
"model-3435","additionalOutdoorAir","0","0","0","0","1"
"model-3435","additionalExhaustAir","0","0","0","0","1"
"model-3435","additionalIndoorAir","0","0","0","0","1"
"model-3435","additionalNonheatedSpaceAir","0","0","0","0","1"
"model-3435","powerSupply","1","0","0","0","1"
"model-3435","offPeakProduct","2","0","0","0","1"
"model-3435","EN14511_4_001","2","0","10","0","2"
"model-3435","EN14511_4_002","2","0","10","0","2"
"model-3435","EN14511_2_001","16.46","4","10","0","2"
"model-3435","EN14511_2_001","14.86","5","10","0","2"
"model-3435","EN14511_2_002","3.94","4","10","0","2"
"model-3435","EN14511_2_002","5.65","5","10","0","2"
"model-3435","EN14511_2_003","4.18","4","10","0","2"
"model-3435","EN14511_2_003","2.63","5","10","0","2"
"model-3435","EN14511_4_003","2","0","10","0","2"
"model-3435","EN14511_4_004","2","0","10","0","2"
"model-3435","EN14511_4_005","2","0","10","0","2"
"model-3435","EN12102_1_001","45","4","3","0","2"
"model-3435","EN12102_1_001","45","5","3","0","2"
"model-3435","EN12102_1_002","67","4","3","0","2"
"model-3435","EN12102_1_002","67","5","3","0","2"
"model-3435","EN14825_001","163","4","3","0","2"
"model-3435","EN14825_001","125","5","3","0","2"
"model-3435","EN14825_002","16.00","4","3","0","2"
"model-3435","EN14825_002","14.00","5","3","0","2"
"model-3435","EN14825_003","4.15","4","3","0","2"
"model-3435","EN14825_003","3.21","5","3","0","2"
"model-3435","EN14825_004","-7","4","3","0","2"
"model-3435","EN14825_004","-7","5","3","0","2"
"model-3435","EN14825_005","-10","4","3","0","2"
"model-3435","EN14825_005","-10","5","3","0","2"
"model-3435","EN14825_008","14.20","4","3","0","2"
"model-3435","EN14825_008","12.00","5","3","0","2"
"model-3435","EN14825_009","2.79","4","3","0","2"
"model-3435","EN14825_009","1.98","5","3","0","2"
"model-3435","EN14825_010","8.70","4","3","0","2"
"model-3435","EN14825_010","7.30","5","3","0","2"
"model-3435","EN14825_011","4.17","4","3","0","2"
"model-3435","EN14825_011","3.15","5","3","0","2"
"model-3435","EN14825_012","7.00","4","3","0","2"
"model-3435","EN14825_012","6.30","5","3","0","2"
"model-3435","EN14825_013","5.34","4","3","0","2"
"model-3435","EN14825_013","4.30","5","3","0","2"
"model-3435","EN14825_014","8.10","4","3","0","2"
"model-3435","EN14825_014","7.60","5","3","0","2"
"model-3435","EN14825_015","6.76","4","3","0","2"
"model-3435","EN14825_015","5.99","5","3","0","2"
"model-3435","EN14825_016","14.20","4","3","0","2"
"model-3435","EN14825_016","12.00","5","3","0","2"
"model-3435","EN14825_017","2.79","4","3","0","2"
"model-3435","EN14825_017","1.98","5","3","0","2"
"model-3435","EN14825_018","14.10","4","3","0","2"
"model-3435","EN14825_018","10.60","5","3","0","2"
"model-3435","EN14825_019","2.54","4","3","0","2"
"model-3435","EN14825_019","1.75","5","3","0","2"
"model-3435","EN14825_021","0.92","4","3","0","2"
"model-3435","EN14825_021","0.96","5","3","0","2"
"model-3435","EN14825_022","65","4","3","0","2"
"model-3435","EN14825_022","65","5","3","0","2"
"model-3435","EN14825_023","19","4","3","0","2"
"model-3435","EN14825_023","19","5","3","0","2"
"model-3435","EN14825_024","100","4","3","0","2"
"model-3435","EN14825_024","46","5","3","0","2"
"model-3435","EN14825_025","23","4","3","0","2"
"model-3435","EN14825_025","23","5","3","0","2"
"model-3435","EN14825_026","0","4","3","0","2"
"model-3435","EN14825_026","0","5","3","0","2"
"model-3435","EN14825_027","1","4","3","0","2"
"model-3435","EN14825_027","1","5","3","0","2"
"model-3435","EN14825_028","2.00","4","3","0","2"
"model-3435","EN14825_028","3.00","5","3","0","2"
"model-3435","EN14825_029","8014","4","3","0","2"
"model-3435","EN14825_029","8757","5","3","0","2"
"model-3435","EN16147_001","L","0","3","0","2"
"model-3435","EN16147_002","109","0","3","0","2"
"model-3435","EN16147_003","2.56","0","3","0","2"
"model-3435","EN16147_004","0:54","0","3","0","2"
"model-3435","EN16147_005","48.0","0","3","0","2"
"model-3435","EN16147_006","54.2","0","3","0","2"
"model-3435","EN16147_007","250","0","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","3,800 kg","0","0","0","0"
"","Date","n/a","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","Alféa Excellia HP A.I. 16","0","0","0","0"
