"modelID","varName","value","temperature","climate","indoorUnittype","info"
"ID_VWL 79/5 230V","EN16147_004","01:15","0","1","0","2"
"ID_VWL 79/5 230V","EN16147_004","02:51","0","2","0","2"
"ID_VWL 79/5 230V","EN16147_004","02:24","0","3","0","2"
"ID_VWL 79/5 230V","EN16147_005","34.0","0","1","0","2"
"ID_VWL 79/5 230V","EN16147_005","39.0","0","2","0","2"
"ID_VWL 79/5 230V","EN16147_005","38.0","0","3","0","2"
"ID_VWL 79/5 230V","EN16147_006","55.0","0","1","0","2"
"ID_VWL 79/5 230V","EN16147_006","55.0","0","2","0","2"
"ID_VWL 79/5 230V","EN16147_006","55.0","0","3","0","2"
"ID_VWL 79/5 230V","EN16147_007","275","0","1","0","2"
"ID_VWL 79/5 230V","EN16147_007","266","0","2","0","2"
"ID_VWL 79/5 230V","EN16147_007","270","0","3","0","2"
"ID_VWL 77/5 230V","title","VWL 77/5 230V","0","0","0","1"
"ID_VWL 77/5 230V","application","2","0","0","0","1"
"ID_VWL 77/5 230V","indoor","1","0","0","0","1"
"ID_VWL 77/5 230V","outdoor","0","0","0","0","1"
"ID_VWL 77/5 230V","coolingMode7c12c","0","0","0","0","1"
"ID_VWL 77/5 230V","coolingMode18c23c","0","0","0","0","1"
"ID_VWL 77/5 230V","colderClimate","1","0","0","0","1"
"ID_VWL 77/5 230V","warmerClimate","1","0","0","0","1"
"ID_VWL 77/5 230V","reversibility","1","0","0","0","1"
"ID_VWL 77/5 230V","colderForHeating","0","0","0","0","1"
"ID_VWL 77/5 230V","warmerForHeating","0","0","0","0","1"
"ID_VWL 77/5 230V","en145112Certification","0","0","0","0","1"
"ID_VWL 77/5 230V","heatSource","0","0","0","0","1"
"ID_VWL 77/5 230V","additionalOutdoorAir","0","0","0","0","1"
"ID_VWL 77/5 230V","additionalExhaustAir","0","0","0","0","1"
"ID_VWL 77/5 230V","additionalIndoorAir","0","0","0","0","1"
"ID_VWL 77/5 230V","additionalNonheatedSpaceAir","0","0","0","0","1"
"ID_VWL 77/5 230V","powerSupply","1","0","0","0","1"
"ID_VWL 77/5 230V","offPeakProduct","0","0","0","0","1"
"ID_VWL 77/5 230V","EN14511_4_001","2","0","10","0","2"
"ID_VWL 77/5 230V","EN14511_4_002","2","0","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_001","5.77","4","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_001","6.84","5","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_002","1.55","4","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_002","2.60","5","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_003","3.72","4","10","0","2"
"ID_VWL 77/5 230V","EN14511_2_003","2.63","5","10","0","2"
"ID_VWL 77/5 230V","EN14511_4_003","2","0","10","0","2"
"ID_VWL 77/5 230V","EN14511_4_004","2","0","10","0","2"
"ID_VWL 77/5 230V","EN14511_4_005","2","0","10","0","2"
"ID_VWL 77/5 230V","EN14511_4_006","2","0","10","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","44","4","1","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","47","5","1","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","44","4","2","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","47","5","2","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","44","4","3","0","2"
"ID_VWL 77/5 230V","EN12102_1_001","47","5","3","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","4","1","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","5","1","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","4","2","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","5","2","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","4","3","0","2"
"ID_VWL 77/5 230V","EN12102_1_002","-","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_001","221","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_001","154","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_001","157","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_001","114","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_001","169","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_001","133","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_002","4.45","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_002","4.33","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_002","6.25","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_002","6.08","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_002","7.34","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_002","6.32","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_003","5.59","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_003","3.92","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_003","4.00","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_003","2.94","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_003","4.29","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_003","3.36","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_004","2","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_004","2","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_004","-15","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_004","-15","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_004","-7","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_004","-7","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_005","2","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_005","2","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_005","-20","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_005","-15","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_005","-10","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_005","-10","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_008","3.59","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_008","3.81","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_008","6.53","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_008","5.62","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_009","3.38","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_009","2.53","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_009","2.63","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_009","1.98","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_047","1.000","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_047","1.000","5","2","0","2"
"ID_VWL 77/5 230V","EN14825_047","1.000","4","3","0","2"
"ID_VWL 77/5 230V","EN14825_047","1.000","5","3","0","2"
"ID_VWL 77/5 230V","EN14825_010","4.49","4","1","0","2"
"ID_VWL 77/5 230V","EN14825_010","4.36","5","1","0","2"
"ID_VWL 77/5 230V","EN14825_010","2.55","4","2","0","2"
"ID_VWL 77/5 230V","EN14825_010","2.29","5","2","0","2"
