"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","THERMOR Alféa Extensa A.I. 13","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","14.01","4","10","0","2"
"1","EN14511_2_001","7.84","5","10","0","2"
"1","EN14511_2_002","3.50","4","10","0","2"
"1","EN14511_2_002","3.25","5","10","0","2"
"1","EN14511_2_003","4.00","4","10","0","2"
"1","EN14511_2_003","2.41","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN12102_1_001","46","4","3","0","2"
"1","EN12102_1_001","46","5","3","0","2"
"1","EN12102_1_002","69","4","3","0","2"
"1","EN12102_1_002","69","5","3","0","2"
"1","EN14825_001","151","4","3","0","2"
"1","EN14825_001","109","5","3","0","2"
"1","EN14825_002","11.00","4","3","0","2"
"1","EN14825_002","8.00","5","3","0","2"
"1","EN14825_003","3.85","4","3","0","2"
"1","EN14825_003","2.80","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","10.00","4","3","0","2"
"1","EN14825_008","8.20","5","3","0","2"
"1","EN14825_009","2.60","4","3","0","2"
"1","EN14825_009","1.90","5","3","0","2"
"1","EN14825_010","6.10","4","3","0","2"
"1","EN14825_010","5.00","5","3","0","2"
"1","EN14825_011","3.70","4","3","0","2"
"1","EN14825_011","2.70","5","3","0","2"
"1","EN14825_012","6.20","4","3","0","2"
"1","EN14825_012","5.90","5","3","0","2"
"1","EN14825_013","5.30","4","3","0","2"
"1","EN14825_013","3.80","5","3","0","2"
"1","EN14825_014","7.40","4","3","0","2"
"1","EN14825_014","7.00","5","3","0","2"
"1","EN14825_015","6.90","4","3","0","2"
"1","EN14825_015","4.80","5","3","0","2"
"1","EN14825_016","10.00","4","3","0","2"
"1","EN14825_016","8.20","5","3","0","2"
"1","EN14825_017","2.60","4","3","0","2"
"1","EN14825_017","1.90","5","3","0","2"
"1","EN14825_018","10.00","4","3","0","2"
"1","EN14825_018","8.00","5","3","0","2"
"1","EN14825_019","2.20","4","3","0","2"
"1","EN14825_019","1.70","5","3","0","2"
"1","EN14825_021","0.90","4","3","0","2"
"1","EN14825_021","0.90","5","3","0","2"
"1","EN14825_022","55","4","3","0","2"
"1","EN14825_022","55","5","3","0","2"
"1","EN14825_023","8","4","3","0","2"
"1","EN14825_023","8","5","3","0","2"
"1","EN14825_024","45","4","3","0","2"
"1","EN14825_024","22","5","3","0","2"
"1","EN14825_025","12","4","3","0","2"
"1","EN14825_025","12","5","3","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","1.30","4","3","0","2"
"1","EN14825_028","1.30","5","3","0","2"
"1","EN14825_029","6062","4","3","0","2"
"1","EN14825_029","6842","5","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,500 kg","0","0","0","0"
"","Date","05.06.2019","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","THERMOR Alféa Extensa A.I. size 13","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
