"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","ACHP-H08/4R2HA-M","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","8.40","4","10","0","2","0"
"","EN14511_2_001","7.80","5","10","0","2","0"
"","EN14511_2_002","1.68","4","10","0","2","0"
"","EN14511_2_002","2.36","5","10","0","2","0"
"","EN14511_2_003","5.00","4","10","0","2","0"
"","EN14511_2_003","3.30","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","57","4","1","0","2","0"
"","EN12102_1_002","57","5","1","0","2","0"
"","EN12102_1_002","57","4","3","0","2","0"
"","EN12102_1_002","57","5","3","0","2","0"
"","EN14825_001","272","4","1","0","2","0"
"","EN14825_001","173","5","1","0","2","0"
"","EN14825_001","198","4","3","0","2","0"
"","EN14825_001","152","5","3","0","2","0"
"","EN14825_002","8.10","4","1","0","2","0"
"","EN14825_002","7.60","5","1","0","2","0"
"","EN14825_002","8.10","4","3","0","2","0"
"","EN14825_002","6.60","5","3","0","2","0"
"","EN14825_003","6.87","4","1","0","2","0"
"","EN14825_003","4.40","5","1","0","2","0"
"","EN14825_003","5.15","4","3","0","2","0"
"","EN14825_003","3.87","5","3","0","2","0"
"","EN14825_004","7","4","1","0","2","0"
"","EN14825_004","7","5","1","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.17","4","3","0","2","0"
"","EN14825_008","5.84","5","3","0","2","0"
"","EN14825_009","3.23","4","3","0","2","0"
"","EN14825_009","2.43","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","7.80","4","1","0","2","0"
"","EN14825_010","7.30","5","1","0","2","0"
"","EN14825_010","4.36","4","3","0","2","0"
"","EN14825_010","3.55","5","3","0","2","0"
"","EN14825_011","3.98","4","1","0","2","0"
"","EN14825_011","2.59","5","1","0","2","0"
"","EN14825_011","4.93","4","3","0","2","0"
"","EN14825_011","3.83","5","3","0","2","0"
"","EN14825_048","0.900","4","1","0","2","0"
"","EN14825_048","0.900","5","1","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","5.21","4","1","0","2","0"
"","EN14825_012","4.89","5","1","0","2","0"
"","EN14825_012","2.80","4","3","0","2","0"
"","EN14825_012","2.28","5","3","0","2","0"
"","EN14825_013","5.88","4","1","0","2","0"
"","EN14825_013","3.90","5","1","0","2","0"
"","EN14825_013","6.81","4","3","0","2","0"
"","EN14825_013","4.98","5","3","0","2","0"
"","EN14825_049","0.900","4","1","0","2","0"
"","EN14825_049","0.900","5","1","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.63","4","1","0","2","0"
"","EN14825_014","2.17","5","1","0","2","0"
"","EN14825_014","3.15","4","3","0","2","0"
"","EN14825_014","2.99","5","3","0","2","0"
"","EN14825_015","9.36","4","1","0","2","0"
"","EN14825_015","5.55","5","1","0","2","0"
"","EN14825_015","10.10","4","3","0","2","0"
"","EN14825_015","7.66","5","3","0","2","0"
"","EN14825_050","0.900","4","1","0","2","0"
"","EN14825_050","0.900","5","1","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","5.21","4","1","0","2","0"
"","EN14825_016","4.89","5","1","0","2","0"
"","EN14825_016","7.17","4","3","0","2","0"
"","EN14825_016","5.84","5","3","0","2","0"
"","EN14825_017","5.88","4","1","0","2","0"
"","EN14825_017","3.90","5","1","0","2","0"
"","EN14825_017","3.23","4","3","0","2","0"
"","EN14825_017","2.43","5","3","0","2","0"
"","EN14825_018","7.80","4","1","0","2","0"
"","EN14825_018","7.30","5","1","0","2","0"
"","EN14825_018","6.44","4","3","0","2","0"
"","EN14825_018","4.90","5","3","0","2","0"
"","EN14825_019","3.98","4","1","0","2","0"
"","EN14825_019","2.59","5","1","0","2","0"
"","EN14825_019","3.23","4","3","0","2","0"
"","EN14825_019","2.43","5","3","0","2","0"
"","EN14825_021","0.900","4","1","0","2","0"
"","EN14825_021","0.900","5","1","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","1","0","2","0"
"","EN14825_022","75","5","1","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","2","4","1","0","2","0"
"","EN14825_023","2","5","1","0","2","0"
"","EN14825_023","2","4","3","0","2","0"
"","EN14825_023","2","5","3","0","2","0"
"","EN14825_024","30","4","1","0","2","0"
