"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"4","title","SMHM-120P-3; SMHM-120P-3/9; SMHM-120P-3***","0","0","0","1","0"
"4","application","2","0","0","0","1","0"
"4","indoor","0","0","0","0","1","0"
"4","outdoor","1","0","0","0","1","0"
"4","coolingMode7c12c","0","0","0","0","1","0"
"4","coolingMode18c23c","0","0","0","0","1","0"
"4","colderClimate","0","0","0","0","1","0"
"4","warmerClimate","0","0","0","0","1","0"
"4","reversibility","0","0","0","0","1","0"
"4","colderForHeating","1","0","0","0","1","0"
"4","warmerForHeating","1","0","0","0","1","0"
"4","en145112Certification","0","0","0","0","1","0"
"4","heatSource","0","0","0","0","1","0"
"4","additionalOutdoorAir","0","0","0","0","1","0"
"4","additionalExhaustAir","0","0","0","0","1","0"
"4","additionalIndoorAir","0","0","0","0","1","0"
"4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"4","powerSupply","3","0","0","0","1","0"
"4","offPeakProduct","0","0","0","0","1","0"
"4","EN14511_2_001","12.0","4","10","0","2","0"
"4","EN14511_2_001","12.0","5","10","0","2","0"
"4","EN14511_2_002","2.50","4","10","0","2","0"
"4","EN14511_2_002","3.87","5","10","0","2","0"
"4","EN14511_2_003","4.80","4","10","0","2","0"
"4","EN14511_2_003","3.10","5","10","0","2","0"
"4","EN14511_4_003","2","0","10","0","2","0"
"4","EN14511_4_004","2","0","10","0","2","0"
"4","EN14511_4_005","2","0","10","0","2","0"
"4","EN14511_4_006","2","0","10","0","2","0"
"4","EN12102_1_002","65","4","1","0","2","0"
"4","EN12102_1_002","65","5","1","0","2","0"
"4","EN12102_1_002","65","4","2","0","2","0"
"4","EN12102_1_002","65","5","2","0","2","0"
"4","EN12102_1_002","65","4","3","0","2","0"
"4","EN12102_1_002","65","5","3","0","2","0"
"4","EN14825_001","232","4","1","0","2","0"
"4","EN14825_001","174","5","1","0","2","0"
"4","EN14825_001","162","4","2","0","2","0"
"4","EN14825_001","127","5","2","0","2","0"
"4","EN14825_001","183","4","3","0","2","0"
"4","EN14825_001","141","5","3","0","2","0"
"4","EN14825_002","11.70","4","1","0","2","0"
"4","EN14825_002","12.40","5","1","0","2","0"
"4","EN14825_002","11.5","4","2","0","2","0"
"4","EN14825_002","10.8","5","2","0","2","0"
"4","EN14825_002","12.1","4","3","0","2","0"
"4","EN14825_002","12.0","5","3","0","2","0"
"4","EN14825_003","5.90","4","1","0","2","0"
"4","EN14825_003","4.45","5","1","0","2","0"
"4","EN14825_003","4.13","4","2","0","2","0"
"4","EN14825_003","3.26","5","2","0","2","0"
"4","EN14825_003","4.67","4","3","0","2","0"
"4","EN14825_003","3.62","5","3","0","2","0"
"4","EN14825_004","7","4","1","0","2","0"
"4","EN14825_004","7","5","1","0","2","0"
"4","EN14825_004","-15.00","4","2","0","2","0"
"4","EN14825_004","-15.00","5","2","0","2","0"
"4","EN14825_004","-7","4","3","0","2","0"
"4","EN14825_004","-7","5","3","0","2","0"
"4","EN14825_005","2","4","1","0","2","0"
"4","EN14825_005","2","5","1","0","2","0"
"4","EN14825_005","-22.00","4","2","0","2","0"
"4","EN14825_005","-22.00","5","2","0","2","0"
"4","EN14825_005","-10.00","4","3","0","2","0"
"4","EN14825_005","-10.00","5","3","0","2","0"
"4","EN14825_008","7.11","4","2","0","2","0"
"4","EN14825_008","6.76","5","2","0","2","0"
"4","EN14825_008","10.75","4","3","0","2","0"
"4","EN14825_008","10.58","5","3","0","2","0"
"4","EN14825_009","3.47","4","2","0","2","0"
"4","EN14825_009","2.72","5","2","0","2","0"
"4","EN14825_009","2.78","4","3","0","2","0"
"4","EN14825_009","2.23","5","3","0","2","0"
"4","EN14825_047","0.90","4","2","0","2","0"
"4","EN14825_047","0.90","5","2","0","2","0"
"4","EN14825_047","0.90","4","3","0","2","0"
"4","EN14825_047","0.90","5","3","0","2","0"
"4","EN14825_010","11.58","4","1","0","2","0"
"4","EN14825_010","11.41","5","1","0","2","0"
"4","EN14825_010","4.33","4","2","0","2","0"
"4","EN14825_010","4.14","5","2","0","2","0"
"4","EN14825_010","6.73","4","3","0","2","0"
"4","EN14825_010","6.59","5","3","0","2","0"
"4","EN14825_011","3.30","4","1","0","2","0"
"4","EN14825_011","2.55","5","1","0","2","0"
"4","EN14825_011","5.18","4","2","0","2","0"
"4","EN14825_011","4.05","5","2","0","2","0"
"4","EN14825_011","4.55","4","3","0","2","0"
"4","EN14825_011","3.52","5","3","0","2","0"
"4","EN14825_048","0.900","4","1","0","2","0"
"4","EN14825_048","0.900","5","1","0","2","0"
"4","EN14825_048","0.90","4","2","0","2","0"
"4","EN14825_048","0.90","5","2","0","2","0"
"4","EN14825_048","0.90","4","3","0","2","0"
"4","EN14825_048","0.90","5","3","0","2","0"
"4","EN14825_012","7.57","4","1","0","2","0"
"4","EN14825_012","7.85","5","1","0","2","0"
"4","EN14825_012","5.08","4","2","0","2","0"
"4","EN14825_012","5.00","5","2","0","2","0"
"4","EN14825_012","5.23","4","3","0","2","0"
"4","EN14825_012","4.78","5","3","0","2","0"
"4","EN14825_013","5.78","4","1","0","2","0"
"4","EN14825_013","3.99","5","1","0","2","0"
"4","EN14825_013","6.46","4","2","0","2","0"
"4","EN14825_013","5.15","5","2","0","2","0"
"4","EN14825_013","6.89","4","3","0","2","0"
"4","EN14825_013","4.99","5","3","0","2","0"
"4","EN14825_049","0.900","4","1","0","2","0"
"4","EN14825_049","0.900","5","1","0","2","0"
"4","EN14825_049","0.90","4","2","0","2","0"
"4","EN14825_049","0.90","5","2","0","2","0"
"4","EN14825_049","0.90","4","3","0","2","0"
"4","EN14825_049","0.90","5","3","0","2","0"
"4","EN14825_014","5.17","4","1","0","2","0"
"4","EN14825_014","5.47","5","1","0","2","0"
"4","EN14825_014","5.15","4","2","0","2","0"
"4","EN14825_014","5.01","5","2","0","2","0"
"4","EN14825_014","5.34","4","3","0","2","0"
"4","EN14825_014","5.59","5","3","0","2","0"
"4","EN14825_015","6.98","4","1","0","2","0"
"4","EN14825_015","5.90","5","1","0","2","0"
"4","EN14825_015","6.84","4","2","0","2","0"
"4","EN14825_015","5.66","5","2","0","2","0"
"4","EN14825_015","7.41","4","3","0","2","0"
"4","EN14825_015","6.41","5","3","0","2","0"
"4","EN14825_050","0.900","4","1","0","2","0"
"4","EN14825_050","0.900","5","1","0","2","0"
"4","EN14825_050","0.90","4","2","0","2","0"
"4","EN14825_050","0.90","5","2","0","2","0"
"4","EN14825_050","0.90","4","3","0","2","0"
"4","EN14825_050","0.90","5","3","0","2","0"
"4","EN14825_016","7.57","4","1","0","2","0"
"4","EN14825_016","7.85","5","1","0","2","0"
