"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","INNO-290HHCEU","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","12.09","4","10","0","2","0"
"1","EN14511_2_001","11.36","5","10","0","2","0"
"1","EN14511_2_002","2.83","4","10","0","2","0"
"1","EN14511_2_002","3.87","5","10","0","2","0"
"1","EN14511_2_003","4.27","4","10","0","2","0"
"1","EN14511_2_003","2.94","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","70","4","3","0","2","0"
"1","EN12102_1_002","70","5","3","0","2","0"
"1","EN14825_001","187","4","3","0","2","0"
"1","EN14825_001","143","5","3","0","2","0"
"1","EN14825_002","8.79","4","3","0","2","0"
"1","EN14825_002","8.30","5","3","0","2","0"
"1","EN14825_003","4.76","4","3","0","2","0"
"1","EN14825_003","3.64","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-25","4","3","0","2","0"
"1","EN14825_005","-25","5","3","0","2","0"
"1","EN14825_008","7.77","4","3","0","2","0"
"1","EN14825_008","7.34","5","3","0","2","0"
"1","EN14825_009","2.99","4","3","0","2","0"
"1","EN14825_009","2.23","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","4.75","4","3","0","2","0"
"1","EN14825_010","4.47","5","3","0","2","0"
"1","EN14825_011","4.56","4","3","0","2","0"
"1","EN14825_011","3.63","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","3.41","4","3","0","2","0"
"1","EN14825_012","3.16","5","3","0","2","0"
"1","EN14825_013","6.78","4","3","0","2","0"
"1","EN14825_013","4.65","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","3.76","4","3","0","2","0"
"1","EN14825_014","3.81","5","3","0","2","0"
"1","EN14825_015","7.99","4","3","0","2","0"
"1","EN14825_015","6.96","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","7.77","4","3","0","2","0"
"1","EN14825_016","7.34","5","3","0","2","0"
"1","EN14825_017","2.99","4","3","0","2","0"
"1","EN14825_017","2.23","5","3","0","2","0"
"1","EN14825_018","7.64","4","3","0","2","0"
"1","EN14825_018","7.39","5","3","0","2","0"
"1","EN14825_019","2.79","4","3","0","2","0"
"1","EN14825_019","2.08","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","74","4","3","0","2","0"
"1","EN14825_022","74","5","3","0","2","0"
"1","EN14825_023","10","4","3","0","2","0"
"1","EN14825_023","10","5","3","0","2","0"
"1","EN14825_024","15","4","3","0","2","0"
"1","EN14825_024","15","5","3","0","2","0"
"1","EN14825_025","10","4","3","0","2","0"
"1","EN14825_025","10","5","3","0","2","0"
"1","EN14825_026","44","4","3","0","2","0"
"1","EN14825_026","44","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","1.15","4","3","0","2","0"
"1","EN14825_028","0.91","5","3","0","2","0"
"1","EN14825_029","3816","4","3","0","2","0"
"1","EN14825_029","4703","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,940 kg","0","0","0","0"
"","Date","24.06.2024","0","0","0","0"
"","Manufacturer"," INNONERGY New Energy (Nanjing) Company Limited","0","0","0","0"
"","Modelname","Air to Water Heat Pump- R290- 130","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
