"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","ETHER 90 T","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","1","0","0","0","1","0"
"1","warmerClimate","1","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","2","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_4_001","2","0","10","0","2","0"
"1","EN14511_4_001","2","0","10","0","2","0"
"1","EN14511_4_002","2","0","10","0","2","0"
"1","EN14511_4_002","2","0","10","0","2","0"
"1","EN14511_2_001","8.65","4","10","0","2","0"
"1","EN14511_2_001","7.67","5","10","0","2","0"
"1","EN14511_2_002","1.65","4","10","0","2","0"
"1","EN14511_2_002","2.39","5","10","0","2","0"
"1","EN14511_2_003","5.25","4","10","0","2","0"
"1","EN14511_2_003","3.21","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN12102_1_001","43","4","1","0","2","0"
"1","EN12102_1_001","43","5","1","0","2","0"
"1","EN12102_1_001","43","4","2","0","2","0"
"1","EN12102_1_001","43","5","2","0","2","0"
"1","EN12102_1_001","43","4","3","0","2","0"
"1","EN12102_1_001","43","5","3","0","2","0"
"1","EN12102_1_002","62","4","1","0","2","0"
"1","EN12102_1_002","62","5","1","0","2","0"
"1","EN12102_1_002","62","4","2","0","2","0"
"1","EN12102_1_002","62","5","2","0","2","0"
"1","EN12102_1_002","62","4","3","0","2","0"
"1","EN12102_1_002","62","5","3","0","2","0"
"1","EN14825_043","6.86","4","1","0","2","0"
"1","EN14825_043","6.27","5","1","0","2","0"
"1","EN14825_043","14.97","4","2","0","2","0"
"1","EN14825_043","13.72","5","2","0","2","0"
"1","EN14825_043","10.38","4","3","0","2","0"
"1","EN14825_043","9.38","5","3","0","2","0"
"1","EN14825_001","245","4","1","0","2","0"
"1","EN14825_001","153","5","1","0","2","0"
"1","EN14825_001","150","4","2","0","2","0"
"1","EN14825_001","106","5","2","0","2","0"
"1","EN14825_001","189","4","3","0","2","0"
"1","EN14825_001","133","5","3","0","2","0"
"1","EN14825_002","6.86","4","1","0","2","0"
"1","EN14825_002","6.27","5","1","0","2","0"
"1","EN14825_002","14.97","4","2","0","2","0"
"1","EN14825_002","13.72","5","2","0","2","0"
"1","EN14825_002","10.38","4","3","0","2","0"
"1","EN14825_002","9.38","5","3","0","2","0"
"1","EN14825_003","6.20","4","1","0","2","0"
"1","EN14825_003","3.90","5","1","0","2","0"
"1","EN14825_003","3.84","4","2","0","2","0"
"1","EN14825_003","2.73","5","2","0","2","0"
"1","EN14825_003","4.80","4","3","0","2","0"
"1","EN14825_003","3.40","5","3","0","2","0"
"1","EN14825_004","2","4","1","0","2","0"
"1","EN14825_004","2","5","1","0","2","0"
"1","EN14825_004","-7","4","2","0","2","0"
"1","EN14825_004","-7","5","2","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","2","4","1","0","2","0"
"1","EN14825_005","2","5","1","0","2","0"
"1","EN14825_005","-20","4","2","0","2","0"
"1","EN14825_005","-20","5","2","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","9.06","4","2","0","2","0"
"1","EN14825_008","8.30","5","2","0","2","0"
"1","EN14825_008","9.18","4","3","0","2","0"
"1","EN14825_008","8.30","5","3","0","2","0"
"1","EN14825_009","3.65","4","2","0","2","0"
"1","EN14825_009","2.75","5","2","0","2","0"
"1","EN14825_009","3.32","4","3","0","2","0"
"1","EN14825_009","2.32","5","3","0","2","0"
"1","EN14825_010","6.86","4","1","0","2","0"
"1","EN14825_010","6.27","5","1","0","2","0"
"1","EN14825_010","5.53","4","2","0","2","0"
"1","EN14825_010","4.86","5","2","0","2","0"
"1","EN14825_010","5.60","4","3","0","2","0"
"1","EN14825_010","5.31","5","3","0","2","0"
"1","EN14825_011","4.10","4","1","0","2","0"
"1","EN14825_011","2.45","5","1","0","2","0"
"1","EN14825_011","5.01","4","2","0","2","0"
"1","EN14825_011","3.60","5","2","0","2","0"
"1","EN14825_011","4.59","4","3","0","2","0"
"1","EN14825_011","3.22","5","3","0","2","0"
"1","EN14825_012","4.46","4","1","0","2","0"
"1","EN14825_012","4.05","5","1","0","2","0"
"1","EN14825_012","3.71","4","2","0","2","0"
"1","EN14825_012","3.61","5","2","0","2","0"
"1","EN14825_012","3.64","4","3","0","2","0"
"1","EN14825_012","3.47","5","3","0","2","0"
"1","EN14825_013","5.44","4","1","0","2","0"
"1","EN14825_013","3.19","5","1","0","2","0"
"1","EN14825_013","6.51","4","2","0","2","0"
"1","EN14825_013","5.09","5","2","0","2","0"
"1","EN14825_013","5.98","4","3","0","2","0"
"1","EN14825_013","4.38","5","3","0","2","0"
"1","EN14825_014","4.36","4","1","0","2","0"
"1","EN14825_014","4.11","5","1","0","2","0"
"1","EN14825_014","4.44","4","2","0","2","0"
"1","EN14825_014","4.30","5","2","0","2","0"
"1","EN14825_014","4.44","4","3","0","2","0"
"1","EN14825_014","4.22","5","3","0","2","0"
