"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"model-2383","EN14825_028","2.00","4","3","0","2","0"
"model-2383","EN14825_028","3.00","5","3","0","2","0"
"model-2383","EN14825_029","6702","4","3","0","2","0"
"model-2383","EN14825_029","8431","5","3","0","2","0"
"","title","NIBE AMS 10-16 + SHB10-16","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_2_001","7.03","4","10","0","2","0"
"","EN14511_2_001","6.38","5","10","0","2","0"
"","EN14511_2_002","1.45","4","10","0","2","0"
"","EN14511_2_002","2.04","5","10","0","2","0"
"","EN14511_2_003","4.85","4","10","0","2","0"
"","EN14511_2_003","3.13","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN12102_1_001","35","4","3","0","2","0"
"","EN12102_1_001","35","5","3","0","2","0"
"","EN12102_1_002","62","4","3","0","2","0"
"","EN12102_1_002","62","5","3","0","2","0"
"","EN14825_001","176","4","3","0","2","0"
"","EN14825_001","134","5","3","0","2","0"
"","EN14825_002","14.50","4","3","0","2","0"
"","EN14825_002","14.00","5","3","0","2","0"
"","EN14825_003","4.47","4","3","0","2","0"
"","EN14825_003","3.42","5","3","0","2","0"
"","EN14825_004","-8","4","3","0","2","0"
"","EN14825_004","-8","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","12.90","4","3","0","2","0"
"","EN14825_008","12.50","5","3","0","2","0"
"","EN14825_009","2.96","4","3","0","2","0"
"","EN14825_009","2.01","5","3","0","2","0"
"","EN14825_047","0.98","4","3","0","2","0"
"","EN14825_047","0.98","5","3","0","2","0"
"","EN14825_010","7.90","4","3","0","2","0"
"","EN14825_010","7.60","5","3","0","2","0"
"","EN14825_011","4.37","4","3","0","2","0"
"","EN14825_011","3.29","5","3","0","2","0"
"","EN14825_048","0.98","4","3","0","2","0"
"","EN14825_048","0.98","5","3","0","2","0"
"","EN14825_012","5.10","4","3","0","2","0"
"","EN14825_012","4.90","5","3","0","2","0"
"","EN14825_013","5.58","4","3","0","2","0"
"","EN14825_013","4.68","5","3","0","2","0"
"","EN14825_049","0.98","4","3","0","2","0"
"","EN14825_049","0.98","5","3","0","2","0"
"","EN14825_014","6.40","4","3","0","2","0"
"","EN14825_014","6.80","5","3","0","2","0"
"","EN14825_015","6.99","4","3","0","2","0"
"","EN14825_015","6.51","5","3","0","2","0"
"","EN14825_050","0.98","4","3","0","2","0"
"","EN14825_050","0.98","5","3","0","2","0"
"","EN14825_016","13.40","4","3","0","2","0"
"","EN14825_016","12.70","5","3","0","2","0"
"","EN14825_017","2.86","4","3","0","2","0"
"","EN14825_017","1.95","5","3","0","2","0"
"","EN14825_018","12.50","4","3","0","2","0"
"","EN14825_018","11.00","5","3","0","2","0"
"","EN14825_019","2.71","4","3","0","2","0"
"","EN14825_019","1.95","5","3","0","2","0"
"","EN14825_022","65","4","3","0","2","0"
"","EN14825_022","65","5","3","0","2","0"
"","EN14825_023","2","4","3","0","2","0"
"","EN14825_023","2","5","3","0","2","0"
"","EN14825_024","25","4","3","0","2","0"
"","EN14825_024","25","5","3","0","2","0"
"","EN14825_025","15","4","3","0","2","0"
"","EN14825_025","15","5","3","0","2","0"
"","EN14825_026","35","4","3","0","2","0"
"","EN14825_026","35","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","2.00","4","3","0","2","0"
"","EN14825_028","3.00","5","3","0","2","0"
"","EN14825_029","6702","4","3","0","2","0"
"","EN14825_029","8431","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","4,000 kg","0","0","0","0"
"","Date","20.09.2018","0","0","0","0"
"","Manufacturer"," Nibe AB","0","0","0","0"
"","Modelname","NIBE AMS 10-16","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
