"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Thermal(b) 12 / Thermal(b) 12","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","6.67","4","10","0","2","0"
"1","EN14511_2_001","10.51","5","10","0","2","0"
"1","EN14511_2_002","1.35","4","10","0","2","0"
"1","EN14511_2_002","3.83","5","10","0","2","0"
"1","EN14511_2_003","4.93","4","10","0","2","0"
"1","EN14511_2_003","2.75","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","45","4","3","0","2","0"
"1","EN12102_1_001","46","5","3","0","2","0"
"1","EN12102_1_002","52","4","3","0","2","0"
"1","EN12102_1_002","54","5","3","0","2","0"
"1","EN14825_001","181","4","3","0","2","0"
"1","EN14825_001","132","5","3","0","2","0"
"1","EN14825_002","8.79","4","3","0","2","0"
"1","EN14825_002","7.07","5","3","0","2","0"
"1","EN14825_003","4.60","4","3","0","2","0"
"1","EN14825_003","3.36","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","7.78","4","3","0","2","0"
"1","EN14825_008","6.26","5","3","0","2","0"
"1","EN14825_009","3.25","4","3","0","2","0"
"1","EN14825_009","1.79","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","4.91","4","3","0","2","0"
"1","EN14825_010","3.84","5","3","0","2","0"
"1","EN14825_011","4.46","4","3","0","2","0"
"1","EN14825_011","3.46","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.19","4","3","0","2","0"
"1","EN14825_012","4.05","5","3","0","2","0"
"1","EN14825_013","6.16","4","3","0","2","0"
"1","EN14825_013","4.84","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","5.02","4","3","0","2","0"
"1","EN14825_014","4.87","5","3","0","2","0"
"1","EN14825_015","8.24","4","3","0","2","0"
"1","EN14825_015","6.74","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","7.78","4","3","0","2","0"
"1","EN14825_016","6.26","5","3","0","2","0"
"1","EN14825_017","3.25","4","3","0","2","0"
"1","EN14825_017","1.79","5","3","0","2","0"
"1","EN14825_018","6.36","4","3","0","2","0"
"1","EN14825_018","5.86","5","3","0","2","0"
"1","EN14825_019","2.78","4","3","0","2","0"
"1","EN14825_019","1.78","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","56","4","3","0","2","0"
"1","EN14825_022","56","5","3","0","2","0"
"1","EN14825_023","17","4","3","0","2","0"
"1","EN14825_023","9","5","3","0","2","0"
"1","EN14825_024","25","4","3","0","2","0"
"1","EN14825_024","25","5","3","0","2","0"
"1","EN14825_025","17","4","3","0","2","0"
"1","EN14825_025","9","5","3","0","2","0"
"1","EN14825_026","33","4","3","0","2","0"
"1","EN14825_026","39","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","2.43","4","3","0","2","0"
"1","EN14825_028","1.21","5","3","0","2","0"
"1","EN14825_029","3944","4","3","0","2","0"
"1","EN14825_029","4345","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","12.05.2023","0","0","0","0"
"","Manufacturer"," REFSYSTEM Sp. z o.o. ","0","0","0","0"
"","Modelname","DC Inverter Air to Water Heat Pump Thermal 12","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
