"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"4","title","TERRA 11 HPLB, all climates, low temperature","0","0","0","1","0"
"4","application","1","0","0","0","1","0"
"4","indoor","1","0","0","0","1","0"
"4","outdoor","0","0","0","0","1","0"
"4","coolingMode7c12c","0","0","0","0","1","0"
"4","coolingMode18c23c","0","0","0","0","1","0"
"4","colderClimate","1","0","0","0","1","0"
"4","warmerClimate","1","0","0","0","1","0"
"4","reversibility","0","0","0","0","1","0"
"4","colderForHeating","0","0","0","0","1","0"
"4","warmerForHeating","0","0","0","0","1","0"
"4","en145112Certification","0","0","0","0","1","0"
"4","heatSource","0","0","0","0","1","0"
"4","additionalOutdoorAir","0","0","0","0","1","0"
"4","additionalExhaustAir","0","0","0","0","1","0"
"4","additionalIndoorAir","0","0","0","0","1","0"
"4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"4","powerSupply","1","0","0","0","1","0"
"4","offPeakProduct","2","0","0","0","1","0"
"4","EN14511_4_001","2","0","10","0","2","0"
"4","EN14511_4_002","2","0","10","0","2","0"
"4","EN14511_2_001","10.31","4","10","0","2","0"
"4","EN14511_2_002","2.17","4","10","0","2","0"
"4","EN14511_2_003","4.75","4","10","0","2","0"
"4","EN14511_4_003","2","0","10","0","2","0"
"4","EN14511_4_004","2","0","10","0","2","0"
"4","EN14511_4_005","0","0","10","0","2","0"
"4","EN14511_4_006","2","0","10","0","2","0"
"4","EN12102_1_001","50","4","1","0","2","0"
"4","EN12102_1_001","50","4","2","0","2","0"
"4","EN12102_1_001","50","4","3","0","2","0"
"4","EN12102_1_002","0","4","1","0","2","0"
"4","EN12102_1_002","0","4","2","0","2","0"
"4","EN12102_1_002","0","4","3","0","2","0"
"4","EN14825_001","199","4","1","0","2","0"
"4","EN14825_001","206","4","2","0","2","0"
"4","EN14825_001","200","4","3","0","2","0"
"4","EN14825_002","10.00","4","1","0","2","0"
"4","EN14825_002","13.00","4","2","0","2","0"
"4","EN14825_002","10.00","4","3","0","2","0"
"4","EN14825_003","4.91","4","1","0","2","0"
"4","EN14825_003","5.10","4","2","0","2","0"
"4","EN14825_003","5.21","4","3","0","2","0"
