"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","GHPH-MM12","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","11.98","4","10","0","2","0"
"1","EN14511_2_001","12.28","5","10","0","2","0"
"1","EN14511_2_002","2.68","4","10","0","2","0"
"1","EN14511_2_002","4.45","5","10","0","2","0"
"1","EN14511_2_003","4.47","4","10","0","2","0"
"1","EN14511_2_003","2.76","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","60","4","3","0","2","0"
"1","EN12102_1_002","64","5","3","0","2","0"
"1","EN14825_001","180","4","3","0","2","0"
"1","EN14825_001","132","5","3","0","2","0"
"1","EN14825_002","11.28","4","3","0","2","0"
"1","EN14825_002","11.08","5","3","0","2","0"
"1","EN14825_003","4.56","4","3","0","2","0"
"1","EN14825_003","3.37","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","9.98","4","3","0","2","0"
"1","EN14825_008","9.80","5","3","0","2","0"
"1","EN14825_009","2.54","4","3","0","2","0"
"1","EN14825_009","2.00","5","3","0","2","0"
"1","EN14825_047","0.990","4","3","0","2","0"
"1","EN14825_047","0.990","5","3","0","2","0"
"1","EN14825_010","6.30","4","3","0","2","0"
"1","EN14825_010","6.58","5","3","0","2","0"
"1","EN14825_011","4.42","4","3","0","2","0"
"1","EN14825_011","3.27","5","3","0","2","0"
"1","EN14825_048","0.990","4","3","0","2","0"
"1","EN14825_048","0.990","5","3","0","2","0"
"1","EN14825_012","4.30","4","3","0","2","0"
"1","EN14825_012","4.24","5","3","0","2","0"
"1","EN14825_013","6.33","4","3","0","2","0"
"1","EN14825_013","4.45","5","3","0","2","0"
"1","EN14825_049","0.990","4","3","0","2","0"
"1","EN14825_049","0.990","5","3","0","2","0"
"1","EN14825_014","4.32","4","3","0","2","0"
"1","EN14825_014","5.00","5","3","0","2","0"
"1","EN14825_015","8.88","4","3","0","2","0"
"1","EN14825_015","6.54","5","3","0","2","0"
"1","EN14825_050","0.990","4","3","0","2","0"
"1","EN14825_050","0.990","5","3","0","2","0"
"1","EN14825_016","9.98","4","3","0","2","0"
"1","EN14825_016","9.80","5","3","0","2","0"
"1","EN14825_017","2.54","4","3","0","2","0"
"1","EN14825_017","2.00","5","3","0","2","0"
"1","EN14825_018","10.02","4","3","0","2","0"
"1","EN14825_018","9.03","5","3","0","2","0"
"1","EN14825_019","2.40","4","3","0","2","0"
"1","EN14825_019","1.80","5","3","0","2","0"
"1","EN14825_021","0.990","4","3","0","2","0"
"1","EN14825_021","0.990","5","3","0","2","0"
"1","EN14825_022","67","4","3","0","2","0"
"1","EN14825_022","67","5","3","0","2","0"
"1","EN14825_023","7","4","3","0","2","0"
"1","EN14825_023","7","5","3","0","2","0"
"1","EN14825_024","19","4","3","0","2","0"
"1","EN14825_024","19","5","3","0","2","0"
"1","EN14825_025","7","4","3","0","2","0"
"1","EN14825_025","7","5","3","0","2","0"
"1","EN14825_026","17","4","3","0","2","0"
"1","EN14825_026","17","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","1.26","4","3","0","2","0"
"1","EN14825_028","2.05","5","3","0","2","0"
"1","EN14825_029","5112","4","3","0","2","0"
"1","EN14825_029","6791","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,750 kg","0","0","0","0"
"","Date","03.06.2024","0","0","0","0"
"","Manufacturer"," Arçelik A.S.","0","0","0","0"
"","Modelname","Monobloc Heat Pump Inverter-12","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
