manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n,Subtype,Group,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-]
 Advantix S.p.A.,i-32V5 16/18,i-32V5SL16,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,53,186.0,13.0,4.72,-7.0,-20.0,11900,2.98,3993,7300,4.56,1601,5800,6.17,940,6700,8.7,770,11900,2.98,3993,11400,2.65,4302,,60.0,19.0,22.0,19.0,0.0,0,1.6,13.8,4.94,13800.0,3.15,4381.0,10170.0,4.36,2333.0,6470.0,5.3,1221.0,5530.0,6.67,829.0,,53,133.0,13.0,11500,2.16,5324,6900,3.23,2136,5700,4.34,1313,6600,6.75,978,11500,2.16,5324,11200,1.98,5657,,1.8,,,,4.695447544164381,,,6.719705346284703,,,8.149777661166622,,,11.253730326129425,,0.75,0.3007137490608565,0.1765589782118707,0.1446280991735537,0.75,0.8080390683696469,1.0,0.5325268203606482,0.2787034923533439,0.1892262040629993,1.0,0.4012021036814425,0.2466190833959429,0.1836964688204357,1.0,1.0625469571750563,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-46.684339924989665,0.012192006540295605,0.009534116846079422,46.63559576899948,212.85714031607972,-0.10380626528884682,7.825145341405831,-212.68444110615508,70.64554912739666,-0.010871225144193211,-1.2285299144648467,-70.58193678141582,305.863780635198,0.25769612006806314,12.032485452988002,-306.18982994302246
 Advantix S.p.A.,i-32V5 MIDI 0121 -0126,i-32V5 MIDI 0121,07.06.2021,Outdoor Air/Water,R32,"4,300 kg",,65,165.0,20.0,4.2,-7.0,-20.0,17300,2.54,6811,10600,4.24,2500,9300,5.15,1806,10900,7.08,1540,17300,2.54,6811,15500,2.31,6710,,60.0,22.0,22.0,22.0,0.0,0,4.5,17.67,4.44,17700.0,3.02,5861.0,12940.0,4.03,3211.0,8820.0,4.89,1804.0,9530.0,5.94,1604.0,,65,122.0,19.0,17000,1.86,9140,10500,3.13,3355,9200,3.94,2335,10800,5.51,1960,17000,1.86,9140,15100,1.65,9152,,3.9,,,,4.5016671693258505,,,6.211103794845723,,,7.519323162849959,,,10.022062689236698,,0.7451859956236324,0.2735229759299781,0.1975929978118162,0.1684901531728665,0.7451859956236324,0.7341356673960613,1.0,0.5478587271796622,0.3077973042142979,0.2736734345674799,1.0,0.3670678336980306,0.2554704595185995,0.2144420131291028,1.0,1.0013129102844638,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,177.77839717257768,0.012199160035045493,-0.015118164794268451,-177.8302752687549,-75.8420536505599,-0.07973412365053899,6.432260189636181,75.98201088694586,72.8653957143212,-0.012217466605331765,-1.1606748070743889,-72.80323742119249,-49.45376634430195,0.2357761073968594,10.379159312325411,49.17887212226324
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0128,07.06.2021,Outdoor Air/Water,R32,"5,100 kg",,67,169.0,25.0,4.29,-7.0,-20.0,21700,2.68,8097,13200,4.26,3099,11900,5.39,2208,13700,7.06,1941,21700,2.68,8097,19300,2.41,8008,,60.0,22.0,22.0,22.0,0.0,0,5.7,24.2,4.76,24200.0,3.03,7987.0,17740.0,4.12,4306.0,11320.0,5.38,2104.0,12260.0,6.47,1895.0,,67,126.0,24.0,20800,1.93,10777,12800,3.2,4000,11500,4.1,2805,13500,5.77,2340,20800,1.93,10777,18800,1.73,10867,,5.2,,,,4.516573352005738,,,6.349813308874536,,,8.272793173033289,,,10.916287137939634,,0.751322260369305,0.2875568339983297,0.2048807645912591,0.1801057808295444,0.751322260369305,0.7430639324487334,1.0,0.5391260798798047,0.263428070614749,0.2372605483911355,1.0,0.3711608054189477,0.2602765148000371,0.2171290711700844,1.0,1.0083511181219262,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,241.19775559400267,0.01170815400191102,0.011052844092376632,-241.24934927673024,193.96098391678612,-0.07934861531629799,6.525601883497198,-193.8179104898996,66.2257697304,-0.01060826730817469,-1.2561919257244183,-66.16139307843387,155.914233570905,0.2512606129937919,11.984259952449525,-156.24125481482932
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0132,07.06.2021,Outdoor Air/Water,R32,"5,100 kg",,67,158.0,24.0,4.02,-7.0,-20.0,21300,2.57,8288,13000,3.94,3299,11600,5.03,2306,13500,6.96,1940,21300,2.57,8288,18800,2.29,8210,,60.0,22.0,22.0,22.0,0.0,0,5.2,26.0,4.81,26000.0,3.01,8638.0,19100.0,4.15,4602.0,12270.0,5.35,2293.0,12560.0,6.63,1894.0,,67,122.0,25.0,21700,1.9,11421,13300,3.09,4304,11900,3.96,3005,14000,5.51,2541,21700,1.9,11421,19500,1.7,11471,,5.5,,,,4.486760986645964,,,6.396049813550807,,,8.226662356083288,,,11.186241688491464,,0.7256807635058226,0.288853865686017,0.2019087645565186,0.1698625339287277,0.7256807635058226,0.7188512389458016,1.0,0.5327622134753415,0.2654549664274137,0.2192637184533457,1.0,0.3768496629016724,0.2631118115751685,0.2224848962437615,1.0,1.004377900358988,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-128.25366701225573,0.012807035389897001,-0.030347980397014192,128.20474001168043,217.28108833585168,-0.07112648001518654,6.063943709304633,-217.13793715108838,70.64588034284834,-0.010476872919804803,-1.255501061160262,-70.58160556596407,106.25555499477179,0.25353897374408474,12.35721717187803,-106.59544554121308
 Advantix S.p.A.,i-32V514,i-32V514,26.05.2020,Outdoor Air/Water,R32,"3,600 kg",,66,176.0,12.0,4.48,-7.0,-20.0,10700,2.98,3591,6500,4.2,1548,5800,5.98,970,6700,8.16,821,10700,2.98,3591,10500,2.69,3903,,60.0,19.0,22.0,19.0,0.0,0,1.5,11.48,4.77,11480.0,3.25,3532.0,8470.0,4.31,1965.0,5410.0,4.91,1102.0,5530.0,6.72,823.0,,66,130.0,12.0,10300,2.1,4905,6200,3.21,1931,5700,4.19,1360,6600,6.17,1070,10300,2.1,4905,10200,1.96,5204,,1.8,,,,4.84450937096325,,,6.642644505157584,,,7.550077040816626,,,11.338091123176868,,0.7321100917431193,0.3155963302752294,0.1977573904179408,0.1673802242609582,0.7321100917431193,0.7957186544342507,1.0,0.5563420158550396,0.312004530011325,0.2330124575311438,1.0,0.3936799184505606,0.2772680937818552,0.218144750254842,1.0,1.0609582059123344,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-77.92423631707211,0.012305601296427755,0.00614337978777214,77.87698334242259,-90.05558406583387,-0.0981360877186726,7.460515554297047,90.20891624986791,65.13231870375795,-0.01260196918944068,-1.147448799443412,-65.07037056152032,-45.02864034503275,0.2542118645488468,11.652514686715895,44.714658605017114
 Advantix S.p.A.,i-HPV5H 0140,i-HPV5H 0140,25.02.2022,Outdoor Air/Water,R32,"6,500 kg",,74,167.0,31.0,4.25,-7.0,-10.0,27100,2.49,10884,17600,4.23,4161,18000,5.54,3249,20200,7.11,2841,27100,2.49,10884,26900,2.17,12396,,58.0,22.0,22.0,22.0,38.0,0,4.1,29.6,4.8,29600.0,3.1,9548.0,21700.0,4.14,5242.0,15000.0,5.0,3000.0,16190.000000000002,6.57,2464.0,,74,126.0,29.0,25800,1.72,15000,17100,3.1,5516,20200,4.59,4401,22900,7.25,3159,25800,1.72,15000,25500,1.51,16887,,29.0,,,,4.620916630764946,,,6.380637645325383,,,7.688469491666625,,,11.08500873203453,,0.7256,0.2774,0.2166,0.1894,0.7256,0.8264,1.0,0.5490155006284039,0.3142019271051529,0.2580645161290322,1.0,0.3677333333333333,0.2934,0.2106,1.0,1.1258,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,176.3127008476281,0.01287008208662404,-0.04072455972037922,-176.3627171612792,221.75438744039005,-0.06241952335051124,5.924344550773332,-221.5472225970247,68.42496364613869,-0.0124469906146244,-1.146944504893513,-68.36312539222793,283.6579853666499,0.24920528408049047,11.749842783379753,-283.97768654223125
 Advantix S.p.A.,i-HPV5H 0260,i-HPV5H 0260,25.02.2022,Outdoor Air/Water,R32,"11,700 kg",,80,154.0,47.0,3.92,-7.0,-10.0,41800,2.18,19174,27700,3.78,7328,31200,5.56,5612,35600,7.38,4824,41800,2.18,19174,40100,1.87,21444,,58.0,22.0,22.0,22.0,76.0,0,6.9,48.0,4.86,48000.0,3.1,15484.0,35400.0,4.12,8592.0,27020.0,5.16,5236.0,28950.0,6.45,4488.0,,80,120.0,47.0,41300,1.55,26645,29100,2.93,9932,43400,4.68,9274,42300,7.25,5834,41300,1.55,26645,37900,1.28,29609,,9.1,,,,4.620916630764946,,,6.349813308874536,,,7.934500515399957,,,10.882542819120657,,0.7196096828673297,0.2750234565584537,0.2106211296678551,0.1810471007693751,0.7196096828673297,0.8048039031713267,1.0,0.5548953758718678,0.3381555153707052,0.2898475846034616,1.0,0.3727528617001313,0.34805779696003,0.2189528992306249,1.0,1.111240382811034,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-71.558109597313,0.013290118837661168,-0.056136614167526494,71.50889998321527,-71.40834162432655,-0.05467807104296082,5.468594893287979,71.64397420575229,68.42677998230808,-0.013350579343099859,-1.094740471909337,-68.36613958244014,-49.475494826554595,0.24904018103587236,11.615596093139617,49.16089932058237
 Advantix S.p.A.,i-HPV5H 0270,i-HPV5H 0270,25.02.2022,Outdoor Air/Water,R32,"12,000 kg",,81,155.0,49.0,3.94,-7.0,-10.0,43600,2.09,20861,28800,3.89,7404,33100,5.67,5838,36900,7.01,5264,43600,2.09,20861,41700,1.79,23296,,58.0,22.0,22.0,22.0,76.0,0,7.3,53.2,4.85,53200.0,3.01,17674.0,39200.0,4.06,9655.0,29040.0,5.1,5694.0,31500.0,6.73,4681.0,,81,120.0,51.0,45500,1.55,29355,28500,3.02,9437,35300,4.38,8059,39700,6.82,5821,45500,1.55,29355,42900,1.41,30426,,51.0,,,,4.486760986645964,,,6.257340299521993,,,7.842238881499957,,,11.35496328258636,,0.710645545903594,0.2522227899846704,0.1988758303525804,0.1793220916368591,0.710645545903594,0.7935956395843979,1.0,0.5462826751159896,0.3221681566142356,0.2648523254498133,1.0,0.3214784534150911,0.2745358541986033,0.1982967126554249,1.0,1.0364844149207972,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,241.19702403146505,0.012904785684071966,-0.07146845937270584,-241.25015075483017,-89.74237866830572,-0.05835831279156627,5.556524376463527,89.95760511173977,34.84551438565921,-0.012605392139587295,-1.1321421986863869,-34.7840744433538,177.0441667988366,0.250938885566239,12.42553877567422,-177.3880617773834
 Advantix S.p.A.,i-SHWAK V4 06,i-SHWAK V4 06,26.05.2020,Outdoor Air/Water,R410A,"2,680 kg",35.0,64,151.0,5.0,3.86,-7.0,-10.0,5300,2.68,1978,3400,4.1,829,3600,4.15,867,3700,5.11,724,5300,2.68,1978,5000,2.34,2137,,39.0,0.0,11.0,11.0,0.0,0,0.0,5.07,3.82,5070.0,2.91,1742.0,3740.0,4.04,926.0,3400.0,4.09,831.0,3680.0,4.92,748.0,35.0,64,119.0,4.0,4500,1.57,2866,2700,2.95,915,3300,4.57,722,3600,6.02,598,4500,1.57,2866,4300,1.45,2966,,0.0,,,,4.337699159847095,,,6.226515963071146,,,6.289168044183299,,,8.301102429468779,,0.6901605024424284,0.2892533147243545,0.3025122121423587,0.2526168876482903,0.6901605024424284,0.7456385205861829,1.0,0.5315729047072331,0.4770378874856487,0.4293915040183697,1.0,0.3192602930914166,0.2519190509420795,0.2086531751570132,1.0,1.0348918353105374,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,255.16615195455165,0.012686208740017848,-0.05199824717991143,-255.21637602331492,-40.360700548670394,-0.04259409812981608,4.862191860731595,40.502337728959205,70.64059065067403,-0.016852754543322537,-0.823355619491526,-70.58689525874846,145.613701472266,0.20896545516716478,7.486277984625799,-145.79403003005007
 Advantix S.p.A.,i-SHWAK V4 08,i-SHWAK V4 08,26.05.2020,Outdoor Air/Water,R410A,"2,200 kg",35.0,64,155.0,6.0,3.94,-7.0,-10.0,5500,2.62,2099,3400,4.19,811,3600,4.39,820,3700,5.12,723,5500,2.62,2099,5100,2.33,2189,,39.0,0.0,11.0,11.0,0.0,0,0.0,6.12,3.84,6120.0,2.9,2110.0,4510.0,3.88,1162.0,3400.0,4.09,831.0,3680.0,4.92,748.0,35.0,64,124.0,5.0,5000,1.72,2907,3300,3.1,1065,4000,4.42,905,4400,6.18,712,5000,1.72,2907,4400,1.44,3056,,0.0,,,,4.322792977167207,,,5.979921271464368,,,6.289168044183299,,,8.301102429468779,,0.7220502235982112,0.2789817681458548,0.2820777433780529,0.2487100103199174,0.7220502235982112,0.7530099759201926,1.0,0.5507109004739337,0.3938388625592417,0.3545023696682464,1.0,0.3663570691434468,0.3113175094599243,0.2449260405916752,1.0,1.0512555899552805,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,158.36500460411662,0.012930782592890615,-0.04331859860535025,-158.41476479201083,221.7222378400974,-0.03924282090360258,4.806830957325336,-221.57662610338838,71.75252977885694,-0.014911186128580799,-0.9831362199692276,-71.69467320495532,-82.71588898047699,0.2068860012554061,7.590694980500202,82.53074727682167
 Advantix S.p.A.,i-SHWAK V4 10/12,i-SHWAK V4 10,26.05.2020,Outdoor Air/Water,R410A,"3,450 kg",39.0,64,161.0,6.0,4.1,-7.0,-10.0,6300,2.59,2432,4300,3.95,1089,5300,5.38,985,5500,7.15,769,6300,2.59,2432,5600,2.44,2295,,39.0,0.0,11.0,11.0,0.0,0,0.0,7.56,4.91,7560.0,3.11,2431.0,5570.0,4.48,1243.0,5420.0,5.89,920.0,5730.0,6.59,869.0,39.0,64,123.0,6.0,5500,1.65,3333,4000,3.15,1270,5000,4.45,1124,5300,6.02,880,5500,1.65,3333,4700,1.25,3760,,0.0,,,,4.635822813444833,,,6.904651364989787,,,9.057017061183284,,,11.118753050853508,,0.7296729672967297,0.3267326732673267,0.2955295529552955,0.2307230723072307,0.7296729672967297,0.6885688568856886,1.0,0.5113122171945701,0.3784450843274373,0.3574660633484163,1.0,0.381038103810381,0.3372337233723372,0.264026402640264,1.0,1.128112811281128,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,134.1534090539963,0.011789640503015276,0.024663107694151715,-134.20101134610115,212.85244110735118,-0.07305183575500124,6.2088045279371915,-212.68248366484556,71.75292443119153,-0.013251098651612914,-1.036111214138123,-71.69429812655106,4.097763279716977,0.2646873836201993,12.36375615435848,-4.432274837980897
 Advantix S.p.A.,i-SHWAK V4 10/12,i-SHWAK V4 12,26.05.2020,Outdoor Air/Water,R410A,"3,450 kg",39.0,65,168.0,7.0,4.28,-7.0,-10.0,7400,2.73,2711,5700,4.34,1313,4000,5.15,777,4700,6.78,693,7400,2.73,2711,6600,2.38,2773,,39.0,0.0,11.0,11.0,0.0,0,0.0,8.49,4.93,8490.0,3.1,2739.0,6260.0,4.48,1397.0,5420.0,5.89,920.0,5730.0,6.59,869.0,39.0,65,126.0,7.0,6700,2.0,3350,4700,3.18,1478,6000,4.19,1432,6900,5.27,1309,6700,2.0,3350,5700,1.59,3585,,0.0,,,,4.620916630764946,,,6.904651364989787,,,9.057017061183284,,,11.118753050853508,,0.8092537313432836,0.3919402985074627,0.2319402985074627,0.206865671641791,0.8092537313432836,0.8277611940298507,1.0,0.5100401606425703,0.3358890105878058,0.3172690763052209,1.0,0.4411940298507463,0.4274626865671642,0.3907462686567164,1.0,1.0701492537313433,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-74.40046196708818,0.00859932817868084,0.2020723874281388,74.35292142307492,318.33051990253574,-0.07741797218105537,6.435352458779399,-318.20740836809443,70.64411948329827,-0.011922761498191364,-1.1238240146413674,-70.5833664255141,-143.86871575022835,0.2645749812658537,12.382594562469416,143.53345703861822
 Advantix S.p.A.,i-SHWAK V4 14,i-SHWAK V4 14,26.05.2020,Outdoor Air/Water,R410A,"4,400 kg",40.0,68,153.0,10.0,3.89,-7.0,-10.0,9700,2.5,3880,6800,4.08,1667,4800,4.2,1143,6800,6.7,1015,9700,2.5,3880,8900,2.2,4045,,39.0,0.0,11.0,11.0,0.0,0,0.0,11.46,4.99,11460.0,3.1,3697.0,8440.0,4.48,1884.0,5420.0,5.89,920.0,5730.0,6.59,869.0,40.0,68,117.0,9.0,9300,1.8,5167,5700,3.04,1875,4700,3.52,1335,7000,6.3,1111,9300,1.8,5167,8300,1.51,5497,,0.0,,,,4.620916630764946,,,6.904651364989787,,,9.057017061183284,,,11.118753050853508,,0.7509192955293207,0.3226243468163344,0.2212115347396942,0.196438939423263,0.7509192955293207,0.7828527191794078,1.0,0.5096023803083581,0.2488504192588585,0.2350554503651609,1.0,0.3628798142055351,0.258370427714341,0.2150183859105864,1.0,1.0638668473001742,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-71.55895780228813,0.010612240845890767,0.06258251461003547,71.50802186800124,208.40288250986634,-0.05967035934312406,5.518714170781425,-208.2457524860779,70.6462954635665,-0.009271863914796893,-1.3020981848986182,-70.58119044524602,-143.86871575022835,0.2645749812658537,12.382594562469416,143.53345703861822
 Advantix S.p.A.,i-SHWAK V4 16,i-SHWAK V4 16,26.05.2020,Outdoor Air/Water,R410A,"4,600 kg",40.0,68,157.0,10.0,4.0,-7.0,-10.0,9800,2.55,3843,6000,4.02,1493,6900,5.11,1350,7800,5.42,1439,9800,2.55,3843,8700,2.22,3919,,39.0,0.0,11.0,11.0,0.0,0,0.0,14.65,5.06,14650.0,3.24,4522.0,10790.0,4.71,2291.0,6930.0,5.81,1193.0,7030.0,6.28,1119.0,40.0,68,123.0,9.0,9100,1.65,5515,6400,3.08,2078,7600,4.43,1716,7900,6.5,1215,9100,1.65,5515,7400,1.3,5692,,0.0,,,,4.829603188283364,,,7.2591312341745295,,,8.934001549316617,,,10.595716109159335,,0.6968268359020853,0.270716228467815,0.2447869446962828,0.2609247506799637,0.6968268359020853,0.7106074342701723,1.0,0.5066342326404246,0.2638213180008845,0.2474568774878372,1.0,0.3767905711695376,0.3111514052583862,0.2203082502266545,1.0,1.0320942883046238,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,236.62425352416471,0.014380474304796258,-0.09972170567581949,-236.67136440440498,-142.51751505202998,-0.04730705028429852,5.150185243976614,142.68065605035025,75.08452602460345,-0.009635574148837502,-1.2731185823787328,-75.02016869446355,-9.344654421126657,0.2631466617755282,11.19610565189613,9.05272233287329
 Airwell Residential S.A.S.,PAC BT MB 10/12/14/16 kW 1ph,PAC BT MB 10KW H11,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,67,165.0,10.0,4.2,-10.0,-10.0,9100,2.74,3321,5300,4.1,1293,3500,5.9,593,1400,4.4,318,9800,2.48,3952,9800,2.48,3952,,49.0,17.0,6.0,17.0,18.0,1,0.0,,,,,,,,,,,,,,,,67,127.0,11.0,9700,1.93,5026,6200,3.12,1987,4200,4.63,907,2700,5.26,513,9700,1.93,5026,11000,1.81,6077,,0.0,,,,,,,,,,,,,,,0.6607640270592917,0.2572622363708715,0.1179864703541583,0.0632709908475925,0.7863111818543573,0.7863111818543573,,,,,1.0,0.3953442101074413,0.1804615996816554,0.1020692399522483,1.0,1.2091126144050934,,,,,Regulated,1.0,-341.66344449191405,0.01658808087521385,-0.18465369133470352,341.6203373919973,70.67900726359947,-0.05490518696907702,5.534050825791299,-70.5752031427699,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 10/12/14/16 kW 1ph,PAC BT MB 14KW H11,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,73,174.0,14.0,4.43,-8.0,-10.0,12800,2.78,4604,7800,4.09,1907,4800,6.12,784,3100,8.83,351,13000,2.84,4577,11800,2.59,4556,,49.0,17.0,6.0,17.0,18.0,1,2.3,,,,,,,,,,,,,,,,73,127.0,13.0,11700,2.05,5707,7300,3.09,2362,4600,4.53,1015,2300,5.28,436,11700,2.05,5707,10800,1.74,6207,,2.2,,,,,,,,,,,,,,,0.8067285789381461,0.3341510425792885,0.1373751533204836,0.061503416856492,0.8019975468722621,0.7983178552654635,,,,,1.0,0.4138776940599264,0.1778517609952689,0.0763974066935342,1.0,1.087611704923778,,,,,Regulated,1.0,184.3328905028663,0.009477740563464121,0.1357056453779462,-184.38433543281153,69.59746712059052,-0.10646001716539513,7.718967224924625,-69.44408257712824,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 10/12/14/16 kW 1ph,PAC BT MB 16KW H11,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,73,168.0,16.0,4.28,-6.0,-10.0,13500,2.78,4856,9000,3.99,2256,6100,6.12,997,3100,7.84,395,13900,2.8,4964,11600,2.38,4874,,49.0,17.0,6.0,17.0,18.0,1,4.8,,,,,,,,,,,,,,,,73,125.0,14.0,12300,2.02,6089,7900,3.05,2590,5100,4.57,1116,2100,4.77,440,12300,2.02,6089,10200,1.68,6071,,3.7,,,,,,,,,,,,,,,0.797503695188044,0.3705041878797832,0.1637378879947446,0.0648710789949088,0.8152405977993102,0.800459845623255,,,,,1.0,0.4253572015109213,0.1832813269830842,0.0722614550829364,1.0,0.997043849564789,,,,,Regulated,1.0,-357.0516509772068,0.00919490531544425,0.16390457434242095,357.00315567621743,-160.29954890687796,-0.09962223304421941,7.367386585331078,160.42801384133656,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 12/14/16 kW 3ph,PAC BT MB 12KW H13,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,70,175.0,12.0,4.46,-7.0,-10.0,10600,2.83,3746,6600,4.08,1618,4400,6.22,707,3700,9.37,395,10600,2.83,3746,10900,2.47,4413,,49.0,27.0,6.0,27.0,1.0,1,1.1,,,,,,,,,,,,,,,,70,127.0,11.0,9500,1.93,4922,6200,3.18,1950,4000,4.5,889,2700,5.01,539,9500,1.93,4922,10600,1.66,6386,,0.4,,,,,,,,,,,,,,,0.761072734660707,0.3287281592848435,0.1436407964242178,0.0802519301097115,0.761072734660707,0.8965867533522958,,,,,1.0,0.3961804144656644,0.1806176351076798,0.1095083299471759,1.0,1.297440065014222,,,,,Regulated,1.0,474.53113587875384,0.010918991929275753,0.06751483021648164,-474.58020808316553,57.3822877182005,-0.11996586056807529,8.238725954692297,-57.232259010818915,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 12/14/16 kW 3ph,PAC BT MB 14KW H13,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,70,170.0,14.0,4.33,-7.0,-10.0,12000,2.66,4511,7200,3.97,1814,4900,6.36,770,3800,9.0,422,12000,2.66,4511,10900,2.41,4523,,49.0,27.0,6.0,27.0,1.0,1,2.7,,,,,,,,,,,,,,,,73,128.0,13.0,11600,2.02,5743,7500,3.1,2419,4700,4.68,1004,2800,5.2,538,11600,2.02,5743,11700,1.77,6610,,1.5,,,,,,,,,,,,,,,0.7854779731847467,0.3158627894828487,0.1340762667595333,0.0734807591850949,0.7854779731847467,0.7875674734459341,,,,,1.0,0.4212084276510534,0.1748215218526902,0.0936792617099077,1.0,1.1509663938707992,,,,,Regulated,1.0,-71.55834624796807,0.010952014206714626,0.07371584275893733,71.50861961863069,106.2397129219558,-0.10497975162005094,7.656845930416233,-106.07526070937516,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 12/14/16 kW 3ph,PAC BT MB 16KW H13,30.07.2018,Outdoor Air/Water,R410A,"3,600 kg",,73,165.0,16.0,4.2,-5.0,-10.0,12000,2.65,4528,8600,3.97,2166,5600,6.03,929,4000,8.54,468,13000,2.9,4483,11000,2.36,4661,,49.0,27.0,6.0,27.0,1.0,1,5.1,,,,,,,,,,,,,,,,73,126.0,14.0,11700,1.99,5879,7800,3.02,2583,5100,4.7,1085,2800,5.28,530,12100,2.09,5789,10600,1.78,5955,,3.7,,,,,,,,,,,,,,,0.7701990134376595,0.3684300051029086,0.1580200714407212,0.0796053750637863,0.7625446504507569,0.7928219084878381,,,,,1.0,0.4393604354482054,0.1845551964619833,0.0901513862901854,0.9846912740261948,1.012927368600102,,,,,Regulated,1.0,497.09290642474554,0.010657126812183733,0.11059632088365613,-497.1380844429413,212.85081409681572,-0.09618134718226286,7.260774598783031,-212.68854049326183,,,,,,,,
 Airwell Residential S.A.S.,PAC BT MB 5/7/9 kW 1ph,PAC BT MB 9KW H11,30.07.2018,Outdoor Air/Water,R410A,"2,400 kg",,67,159.0,9.0,4.05,-7.0,-10.0,7830,2.43,3222,4950,3.7,1338,3180,6.11,520,1510,7.47,202,7830,2.43,3222,7530,2.38,3164,,49.0,16.0,16.0,16.0,34.0,1,1.32,,,,,,,,,,,,,,,,67,127.0,9.0,7700,1.98,3889,4900,3.02,1623,3200,4.67,685,1400,6.16,227,7700,1.98,3889,7000,1.78,3933,,0.0,,,,,,,,,,,,,,,0.8284906145538699,0.3440473129339161,0.1337104654152738,0.0519413731036256,0.8284906145538699,0.8135767549498586,,,,,1.0,0.4173309334019028,0.1761378246335819,0.0583697608639753,1.0,1.0113139624582157,,,,,Regulated,1.0,217.33204832559113,0.00847560934832837,0.18095106008454975,-217.384740367968,-80.31159073942092,-0.06593473706055346,6.039719264064345,80.50281557912209,,,,,,,,
