Manufacturer;Name;model;mode;T_in;T_out;P_el;P_th;COP
Viessmann;Vitocal 200;on_off;heating;-7;34;1,664;4,76;2,86
Viessmann;Vitocal 200;on_off;heating;2;30;0,693;3;4,33
Viessmann;Vitocal 200;on_off;heating;7;27;0,546;3,15;5,77
Viessmann;Vitocal 200;on_off;heating;12;24;0,427;3,05;7,14
Viessmann;Vitocal 200;on_off;heating;-7;52;2,281;4,63;2,03
Viessmann;Vitocal 200;on_off;heating;2;42;1,013;3,11;3,07
Viessmann;Vitocal 200;on_off;heating;7;36;0,709;2,97;4,19
Viessmann;Vitocal 200;on_off;heating;12;30;0,529;2,91;5,5
