Model,k1,k2,k3,k4,k5,k6,k7,k8,k9
i-SHWAK V4 06,-105.92259880658156,-47.91403971732171,5780.274212070827,-73.24471516310173,23.59300823133065,632.7218470887651,0.14163714685839135,-0.04259416053306359,4.8621942543196806
i-SHWAK V4 08,-69.52021105254326,-7.665051081230658,4619.306875919002,-69.63319772669271,29.280603472128945,492.4454517702459,0.14561100860024606,-0.03924362794603907,4.806861181117617
i-SHWAK V4 10,-56.32902913281412,-41.308105578947455,6767.1177312411655,-80.78960618957908,32.70556568871418,643.7597999021551,0.16995760340577873,-0.07305189894186787,6.208807414610039
i-SHWAK V4 12,-69.86655232571647,7.609593080085233,5745.453149421582,-77.78096735609485,37.504672506756265,615.8852673507813,0.12311116617431875,-0.07741840166667188,6.435368475681724
i-SHWAK V4 14,-206.03468106675427,-40.65660558296908,8968.692200648202,-149.16375220609052,44.62136287761389,1137.338781545834,0.15713051832787067,-0.059669913103907256,5.518696448799263
i-SHWAK V4 14T,-206.03468106675427,-40.65660558296908,8968.692200648202,-149.16375220609052,44.62136287761389,1137.338781545834,0.15713051832787067,-0.059669913103907256,5.518696448799263
i-SHWAK V4 16,-90.27270180155199,-8.197425114077078,8285.24094460182,-125.38626932284633,63.11707347119864,600.3275439162243,0.16314167537677574,-0.04730672678430348,5.150172869391707
i-SHWAK V4 16T,-90.27270180155199,-8.197425114077078,8285.24094460182,-125.38626932284633,63.11707347119864,600.3275439162243,0.16314167537677574,-0.04730672678430348,5.150172869391707
PAC BT MB 10KW H11,-337.08463657638134,60.44842589790144,4364.381587776974,-143.74600559268112,71.23400890256684,-200.80803307103815,0.10380456288843028,-0.05490498472692128,5.534042879878394
PAC BT MB 12KW H11,-483.2731223288511,-59.00334883509313,9632.196044357306,-180.82570275367328,46.169451328029936,909.1900667771415,0.1148683280460124,-0.0941987305401378,7.212292214156133
PAC BT MB 14KW H11,-557.5051017670459,-55.97891439833352,10675.543038448417,-219.90557574430397,45.370145300270046,1355.82076966352,0.15338465346247485,-0.10645986715035989,7.718961646174953
PAC BT MB 16KW H11,-610.7298771679336,-83.79357959836574,12405.458868781589,-235.4379630820257,45.05563374063359,1617.6204566644474,0.1284654162368406,-0.09962179671735463,7.367370305330121
PAC BT MB 12KW H13,-421.97762421174406,-59.756210637516645,9493.541425405738,-172.31844252763938,45.09059901101242,898.8752089565002,0.15002872083711705,-0.11996586576959416,8.238726112899881
PAC BT MB 14KW H13,-474.78232954597667,-20.857428653857298,9191.212246300145,-208.6335947117811,52.6270392711406,1073.7881048488991,0.16445227441015384,-0.10497979814696896,7.656847600866524
PAC BT MB 16KW H13,-489.9994800142949,-44.82592775947728,10455.889446782063,-212.8911282901907,51.2395039143052,1254.7610081557216,0.16227374695209734,-0.09618142621802546,7.260778410229114
PAC BT MB 5KW H11,-123.4444656061277,91.7432275058452,115.88217361350621,-55.04091991716258,63.224366870906444,-1071.1943908572691,0.13800044834496888,-0.11949569602896284,8.27591298178821
PAC BT MB 7KW H11,-238.78052148524512,5.039138782017922,3950.01143152515,-95.44298619602267,35.686164207415274,148.21355454879307,0.1500738560590693,-0.11891674815694367,8.237504721688206
PAC BT MB 9KW H11,-336.4869181071561,-5.432417472397745,5698.193570790034,-157.544052975168,27.664081664020404,1063.7013780126956,0.19122496704220576,-0.06593473043851344,6.039718974176186
PAC-BT-UE-10KW-H11,-206.891116867008,-52.971643088493096,11471.269140201483,-168.7231022934225,64.62171184989026,904.4095144596347,0.2303309254958171,-0.09230653257825006,7.194378818141972
PAC-BT-UE-12KW-H11,-180.51012438933978,-57.28805318577899,9758.56226362384,-124.1613578961648,40.05859711525837,918.5504754618719,0.21469698230246761,-0.07678548656350728,6.879311662993614
PAC-BT-UE-14KW-H11,-126.85838747693434,26.6298498669967,5321.103266991242,-110.46457463409378,60.11299418180473,-50.13316378020944,0.22385495236909936,-0.0860517310104116,7.130785919587049
PAC-BT-UE-16KW-H11,-165.30656149351404,-3.90884206593428,9091.689442096278,-153.6247363292833,75.37512534087662,345.4166396048523,0.25298156705427133,-0.09092085278896242,7.166218832036759
PAC-BT-UE-12KW-H13,-195.8125855250787,4.132242804832359,9768.298173102525,-154.25175823400178,79.98433565814636,245.9196060413475,0.2536038481285989,-0.09482679723039682,7.608307684091648
PAC-BT-UE-14KW-H13,-161.37730029713745,-3.10001857785484,8060.133705433825,-118.95024017949164,67.37135762592325,119.43541771794264,0.18958470248095402,-0.09105166518742852,7.2988545318139435
PAC-BT-UE-16KW-H13,-187.16814539331153,4.763957490383561,9122.452479330499,-153.07895264031856,73.998167515194,322.9643269982383,0.282465779215105,-0.09239361031654068,7.512400127378277
PAC-BT-UE-4KW-H11,-47.13938365443468,-57.987682684493436,4943.314435069984,-49.084768966152836,2.9882383133443042,744.5759985158901,0.24620940886673473,-0.09812516865238756,7.742569741392245
PAC-BT-UE-6KW-H11,-82.88817325464493,-6.238130784067157,3914.5443511073486,-57.81447541663445,31.262735043822655,86.06914967038426,0.1520026725734374,-0.08945987069986404,7.12942370130073
PAC-BT-UE-8KW-H11,-54.36069388515479,-5.2884266263993425,4493.302096742902,-77.95042980923022,32.75725752209938,308.92078166762417,0.21179740816913764,-0.08048814785397819,6.785489153202654
WELLEA MONOBLOC 12 KW 1PH,-407.83729276753616,54.757486143798346,5707.641938428748,-157.138750982932,78.19104574298008,-158.83156879573676,0.09060431644868412,-0.07377646990460575,6.28770104540041
WELLEA MONOBLOC 14 KW 1PH,-516.6793847939157,4.700822811895449,8524.287060035356,-198.08046906888606,65.75051268965228,627.8577644389005,0.09710533191780525,-0.07258069148673552,6.277592608020326
WELLEA MONOBLOC 16 KW 1PH,-623.8255845562189,-53.279880358330814,11558.635433264386,-246.9348497380331,46.46355825593999,1686.3371605229079,0.11696358649796244,-0.07661039789291572,6.4391098748260855
WELLEA MONOBLOC 12 KW 3PH,-407.83729276753616,54.757486143798346,5707.641938428748,-157.138750982932,78.19104574298008,-158.83156879573676,0.09060431644868412,-0.07377646990460575,6.28770104540041
WELLEA MONOBLOC 14 KW 3PH,-563.9885167002712,6.013653550972904,7963.490504165997,-212.18098809166327,60.964375733304294,699.9830468453159,0.1184613909353021,-0.04888751675695815,5.408393520246875
WELLEA MONOBLOC 16KW 3PH,-623.8255845562189,-53.279880358330814,11558.635433264386,-246.9348497380331,46.46355825593999,1686.3371605229079,0.11696358649796244,-0.07661039789291572,6.4391098748260855
WELLEA MONOBLOC 5KW,-244.96975380314228,2.5246364990793038,4046.8597586551355,-90.45743952738961,37.54379715122584,74.03301131865517,0.0893740160859716,-0.08837598001228822,6.897615256621555
WELLEA MONOBLOC 7KW,-244.96975380314228,2.5246364990793038,4046.8597586551355,-90.45743952738961,37.54379715122584,74.03301131865517,0.0893740160859716,-0.08837598001228822,6.897615256621555
WELLEA MONOBLOC 9KW,-332.376902672684,-46.173452953098106,6738.031604371777,-126.63662250051867,32.071404843847915,619.1486389928018,0.12349712822401095,-0.10733674787134334,7.684960759589402
AW-YHPS04-H91 + AW-WHPS0406-N91,-242.49720605903894,-9.272697395140625,4102.489194164593,-91.9521678973483,28.924120320632095,247.1909516189912,0.1677151746384649,-0.11429931089441465,8.189535700760867
AW-YHPS06-H91 + AW-WHPS0406-N91,-242.49720605903894,-9.272697395140625,4102.489194164593,-91.9521678973483,28.924120320632095,247.1909516189912,0.1677151746384649,-0.11429931089441465,8.189535700760867
AW-YHPS08-H91 + AW-WHPS0810-N91,-359.0392587383217,-42.85510694174445,6768.531706706591,-126.45164841554987,32.764858499315544,565.9137612439055,0.12459301793912936,-0.1282665186953576,8.658086017365944
AW-YHPS10-H91 + AW-WHPS0810-N91,-359.0392587383217,-42.85510694174445,6768.531706706591,-126.45164841554987,32.764858499315544,565.9137612439055,0.12459301793912936,-0.1282665186953576,8.658086017365944
AW-YHPS04-H91 + AW-WHPST0410-N91,-129.2244740498836,26.683430480146185,2032.542736495518,-46.70391226678747,35.78780861491503,-336.2422282641708,0.10746956107542227,-0.10404824552482023,7.7567649761517
AW-YHPS06-H91 + AW-WHPST0410-N91,-214.63743200203572,-9.418244944153864,4016.2331819624155,-76.07162911453358,30.346238200943496,95.0987646537389,0.11353380751767649,-0.11786630438235915,8.348035886831715
AW-YHPS08-H91 + AW-WHPST0410-N91,-320.01893932604304,-27.488573595645768,5986.236005304084,-109.96737749872935,37.14284473190253,282.3505335306957,0.11425195636988311,-0.1318543844399162,8.888862617827535
AW-YHPS10-H91 + AW-WHPST0410-N91,-377.90340548748827,-44.77810501259853,7339.409278959941,-125.97030352599309,28.95535566889355,708.5557118278309,0.14740668250479247,-0.13707923358455076,9.308675265702155
alpha innotec L12 Split-HT 12,-337.67722457450657,-71.32677709877372,9683.728248781123,-152.58785326669988,32.64218881669512,1182.607247602717,0.15318082082236487,-0.07409277965853263,6.484556427883788
NOVELAN L12 Split-CS 12,-337.67722457450657,-71.32677709877372,9683.728248781123,-152.58785326669988,32.64218881669512,1182.607247602717,0.15318082082236487,-0.07409277965853263,6.484556427883788
alpha innotec L6 Split-HT 6,-100.28524611145048,14.894760143012565,2751.490981341639,-65.57256163333757,33.669414250099436,-59.88214738087095,0.17328186089255526,-0.10213256987019459,7.704320576163991
NOVELAN L6 Split-CS 6,-100.28524611145048,14.894760143012565,2751.490981341639,-65.57256163333757,33.669414250099436,-59.88214738087095,0.17328186089255526,-0.10213256987019459,7.704320576163991
alpha innotec L8 Split-HT 12,-236.81758510743165,-52.20551538567058,6973.426145644281,-105.9577693235409,25.92349699989322,775.7319839505159,0.13313339071766567,-0.07706016310057932,6.500476239343663
NOVELAN L8 Split-CS 12,-236.81758510743165,-52.20551538567058,6973.426145644281,-105.9577693235409,25.92349699989322,775.7319839505159,0.13313339071766567,-0.07706016310057932,6.500476239343663
LW 101,234.298871115367,-20.72773660928539,9723.719896855797,2.7595055977290706,44.07917205163825,1114.120201866298,0.09151349529066784,-0.054626494076030395,5.406238500346207
LW 101A,234.298871115367,-20.72773660928539,9723.719896855797,2.7595055977290706,44.07917205163825,1114.120201866298,0.09151349529066784,-0.054626494076030395,5.406238500346207
LW 121,283.41178029047506,-31.646330676643295,12222.15138612719,3.9916324969948,56.03077752025645,1231.8463097340123,0.09236536946719508,-0.060084598880613904,5.7021292933859415
